name,position,team,GW,opponent_team,was_home,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,transfers_in,transfers_out,selected,value,season,season_year,form_last3,form_last5,minutes_reliability_season,cumulative_points_season,avg_points_per_game_season,goals_per_game_season,assists_per_game_season,clean_sheet_rate_season,saves_per_game_season,points_per_million,is_new_to_pl,adjG_per_90,adjA_per_90,league_multiplier,season_reliability,data_source,data_confidence
Oscar Mingueza,DEF,Crystal Palace,0,,False,0,2729.0,4.0,6.0,0.0,0,0,0,0,6.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.4,2024-25,2025,0.0,0.0,1.0,0,0.0,0.11960000000000001,0.18400000000000002,0.0,0.0,0.0,1,0.11960000000000001,0.18400000000000002,0.92,1.0,stage4a,1.0
Juanlu Sánchez,DEF,Bournemouth,0,,False,0,1722.0,4.0,4.0,0.0,0,0,0,0,6.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2024-25,2025,0.0,0.0,0.5,0,0.0,0.1932,0.1932,0.0,0.0,0.0,1,0.1932,0.1932,0.92,0.5,stage4a,0.5
Juanlu Sánchez,DEF,Bournemouth,0,,False,0,2634.0,1.0,0.0,0.0,0,0,0,0,6.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2024-25,2025,0.0,0.0,1.0,0,0.0,0.0276,0.0,0.0,0.0,0.0,1,0.0276,0.0,0.92,1.0,stage4a,1.0
David Affengruber,DEF,Fulham,0,,False,0,2949.0,1.0,1.0,0.0,0,0,0,0,7.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2025-26,2026,0.0,0.0,1.0,0,0.0,0.0276,0.0276,0.0,0.0,0.0,1,0.0276,0.0276,0.92,1.0,stage4a,1.0
Ronald Araujo,DEF,Liverpool,0,,False,0,1071.0,3.0,0.0,0.0,0,0,0,0,2.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.4,2025-26,2026,0.0,0.0,0.5,0,0.0,0.23,0.0,0.0,0.0,0.0,1,0.23,0.0,0.92,0.5,stage4a,0.5
Pep Chavarría,DEF,Chelsea,0,,False,0,2682.0,1.0,2.0,0.0,0,0,0,0,6.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2025-26,2026,0.0,0.0,1.0,0,0.0,0.0276,0.06440000000000001,0.0,0.0,0.0,1,0.0276,0.06440000000000001,0.92,1.0,stage4a,1.0
Nobel Mendy,DEF,Hull City,0,,False,0,1797.0,2.0,0.0,0.0,0,0,0,0,9.0,2.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.0,2025-26,2026,0.0,0.0,1.0,0,0.0,0.09200000000000001,0.0,0.0,0.0,0.0,1,0.09200000000000001,0.0,0.92,1.0,stage4a,1.0
Oscar Mingueza,DEF,Crystal Palace,0,,False,0,1968.0,1.0,4.0,0.0,0,0,0,0,4.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.4,2025-26,2026,0.0,0.0,1.0,0,0.0,0.046000000000000006,0.1656,0.0,0.0,0.0,1,0.046000000000000006,0.1656,0.92,1.0,stage4a,1.0
Matteo Ruggeri,DEF,Aston Villa,0,,False,0,1774.0,0.0,3.0,0.0,0,0,0,0,4.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2025-26,2026,0.0,0.0,1.0,0,0.0,0.0,0.138,0.0,0.0,0.0,1,0.0,0.138,0.92,1.0,stage4a,1.0
Juanlu Sánchez,DEF,Bournemouth,0,,False,0,1990.0,0.0,3.0,0.0,0,0,0,0,6.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2025-26,2026,0.0,0.0,1.0,0,0.0,0.0,0.12880000000000003,0.0,0.0,0.0,1,0.0,0.12880000000000003,0.92,1.0,stage4a,1.0
Juanlu Sánchez,DEF,Bournemouth,0,,False,0,2814.0,1.0,2.0,0.0,0,0,0,0,8.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2025-26,2026,0.0,0.0,1.0,0,0.0,0.0276,0.0552,0.0,0.0,0.0,1,0.0276,0.0552,0.92,1.0,stage4a,1.0
Matteo Ruggeri,DEF,Aston Villa,0,,False,0,2449.0,0.0,4.0,0.0,0,0,0,0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2023-24,2024,0.0,0.0,1.0,0,0.0,0.0,0.138,0.0,0.0,0.0,1,0.0,0.138,0.92,1.0,stage4a,1.0
Honest Ahanor,DEF,Crystal Palace,0,,False,0,270.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2024-25,2025,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.88,0.5,stage4a,0.5
Giovanni Leoni,DEF,Liverpool,0,,False,0,1199.0,1.0,0.0,0.0,0,0,0,0,3.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.0,2024-25,2025,0.0,0.0,1.0,0,0.0,0.0704,0.0,0.0,0.0,0.0,1,0.0704,0.0,0.88,1.0,stage4a,1.0
Brooke Norton-Cuffy,DEF,Hull City,0,,False,0,719.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.0,2024-25,2025,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.88,0.5,stage4a,0.5
Marco Palestra,DEF,Chelsea,0,,False,0,222.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.4,2024-25,2025,0.0,0.0,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.88,0.1,stage4a,0.1
Matteo Ruggeri,DEF,Aston Villa,0,,False,0,1751.0,0.0,3.0,0.0,0,0,0,0,2.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2024-25,2025,0.0,0.0,1.0,0,0.0,0.0,0.138,0.0,0.0,0.0,1,0.0,0.138,0.92,1.0,stage4a,1.0
Michael Svoboda,DEF,Brighton,0,,False,0,1314.0,1.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2024-25,2025,0.0,0.0,1.0,0,0.0,0.06160000000000001,0.0,0.0,0.0,0.0,1,0.06160000000000001,0.0,0.88,1.0,stage4a,1.0
Honest Ahanor,DEF,Crystal Palace,0,,False,0,1377.0,0.0,0.0,0.0,0,0,0,0,2.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2025-26,2026,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.88,1.0,stage4a,1.0
Tarik Muharemović,DEF,Leeds,0,,False,0,2835.0,2.0,2.0,0.0,0,0,0,0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2025-26,2026,0.0,0.0,1.0,0,0.0,0.0528,0.0528,0.0,0.0,0.0,1,0.0528,0.0528,0.88,1.0,stage4a,1.0
Brooke Norton-Cuffy,DEF,Hull City,0,,False,0,2212.0,2.0,1.0,0.0,0,0,0,0,5.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.0,2025-26,2026,0.0,0.0,1.0,0,0.0,0.0704,0.0352,0.0,0.0,0.0,1,0.0704,0.0352,0.88,1.0,stage4a,1.0
Marco Palestra,DEF,Chelsea,0,,False,0,3081.0,1.0,4.0,0.0,0,0,0,0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.4,2025-26,2026,0.0,0.0,1.0,0,0.0,0.0264,0.1056,0.0,0.0,0.0,1,0.0264,0.1056,0.88,1.0,stage4a,1.0
Melvin Bard,DEF,Leeds,0,,False,0,2654.0,1.0,2.0,0.0,0,0,0,0,7.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2023-24,2024,0.0,0.0,1.0,0,0.0,0.024599999999999997,0.0574,0.0,0.0,0.0,1,0.024599999999999997,0.0574,0.82,1.0,stage4a,1.0
Jaouen Hadjam,DEF,Brighton,0,,False,0,112.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2023-24,2024,0.0,0.0,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.1,stage4a,0.1
Jeremy Jacquet,DEF,Liverpool,0,,False,0,5.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2023-24,2024,0.0,0.0,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.82,0.1,stage4a,0.1
Jeremy Jacquet,DEF,Liverpool,0,,False,0,253.0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2023-24,2024,0.0,0.0,0.5,0,0.0,0.0,0.29519999999999996,0.0,0.0,0.0,1,0.0,0.29519999999999996,0.82,0.5,stage4a,0.5
Mamadou Sarr,DEF,Chelsea,0,,False,0,8.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2023-24,2024,0.0,0.0,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.82,0.1,stage4a,0.1
Melvin Bard,DEF,Leeds,0,,False,0,1938.0,2.0,1.0,0.0,0,0,0,0,4.0,2.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2024-25,2025,0.0,0.0,1.0,0,0.0,0.07379999999999999,0.041,0.0,0.0,0.0,1,0.07379999999999999,0.041,0.82,1.0,stage4a,1.0
Amar Dedic,DEF,Newcastle,0,,False,0,314.0,0.0,1.0,0.0,0,0,0,0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2024-25,2025,0.0,0.0,0.5,0,0.0,0.0,0.22619999999999998,0.0,0.0,0.0,1,0.0,0.22619999999999998,0.78,0.5,stage4a,0.5
Jeremy Jacquet,DEF,Liverpool,0,,False,0,927.0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2024-25,2025,0.0,0.0,1.0,0,0.0,0.0,0.082,0.0,0.0,0.0,1,0.0,0.082,0.82,1.0,stage4a,1.0
Cédric Kipré,DEF,Ipswich Town,0,,False,0,2190.0,0.0,1.0,0.0,0,0,0,0,4.0,2.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.0,2024-25,2025,0.0,0.0,1.0,0,0.0,0.0,0.032799999999999996,0.0,0.0,0.0,1,0.0,0.032799999999999996,0.82,1.0,stage4a,1.0
Thomas Meunier,DEF,Sunderland,0,,False,0,1928.0,2.0,0.0,0.0,0,0,0,0,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2024-25,2025,0.0,0.0,1.0,0,0.0,0.07379999999999999,0.0,0.0,0.0,0.0,1,0.07379999999999999,0.0,0.82,1.0,stage4a,1.0
Abdoul Ouattara,DEF,Ipswich Town,0,,False,0,471.0,1.0,1.0,0.0,0,0,0,0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.0,2024-25,2025,0.0,0.0,0.5,0,0.0,0.1558,0.1558,0.0,0.0,0.0,1,0.1558,0.1558,0.82,0.5,stage4a,0.5
Mamadou Sarr,DEF,Chelsea,0,,False,0,2365.0,0.0,1.0,0.0,0,0,0,0,4.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2024-25,2025,0.0,0.0,1.0,0,0.0,0.0,0.032799999999999996,0.0,0.0,0.0,1,0.0,0.032799999999999996,0.82,1.0,stage4a,1.0
Aaron Anselmino,DEF,Chelsea,0,,False,0,16.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2025-26,2026,0.0,0.0,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.82,0.1,stage4a,0.1
Melvin Bard,DEF,Leeds,0,,False,0,2394.0,2.0,1.0,0.0,0,0,0,0,4.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2025-26,2026,0.0,0.0,1.0,0,0.0,0.06559999999999999,0.032799999999999996,0.0,0.0,0.0,1,0.06559999999999999,0.032799999999999996,0.82,1.0,stage4a,1.0
Jeremy Jacquet,DEF,Liverpool,0,,False,0,1671.0,0.0,0.0,0.0,0,0,0,0,6.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2025-26,2026,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.82,1.0,stage4a,1.0
Dayann Méthalie,DEF,Sunderland,0,,False,0,1871.0,2.0,1.0,0.0,0,0,0,0,9.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2025-26,2026,0.0,0.0,1.0,0,0.0,0.082,0.041,0.0,0.0,0.0,1,0.082,0.041,0.82,1.0,stage4a,1.0
Thomas Meunier,DEF,Sunderland,0,,False,0,1909.0,2.0,2.0,0.0,0,0,0,0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2025-26,2026,0.0,0.0,1.0,0,0.0,0.07379999999999999,0.07379999999999999,0.0,0.0,0.0,1,0.07379999999999999,0.07379999999999999,0.82,1.0,stage4a,1.0
Abdoul Ouattara,DEF,Ipswich Town,0,,False,0,1768.0,2.0,0.0,0.0,0,0,0,0,2.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.0,2025-26,2026,0.0,0.0,1.0,0,0.0,0.082,0.0,0.0,0.0,0.0,1,0.082,0.0,0.82,1.0,stage4a,1.0
Mamadou Sarr,DEF,Chelsea,0,,False,0,1305.0,0.0,0.0,0.0,0,0,0,0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2025-26,2026,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.82,1.0,stage4a,1.0
Mamadou Sarr,DEF,Chelsea,0,,False,0,661.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2023-24,2024,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.82,1.0,stage4a,1.0
Anan Khalaili,DEF,Crystal Palace,0,,False,0,2305.0,2.0,4.0,0.0,0,0,0,0,6.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2024-25,2025,0.0,0.0,1.0,0,0.0,0.0592,0.1184,0.0,0.0,0.0,1,0.0592,0.1184,0.74,1.0,stage4a,1.0
Luka Vušković,DEF,Brighton,0,,False,0,2966.0,7.0,2.0,0.0,0,0,0,0,6.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2024-25,2025,0.0,0.0,1.0,0,0.0,0.15539999999999998,0.044399999999999995,0.0,0.0,0.0,1,0.15539999999999998,0.044399999999999995,0.74,1.0,stage4a,1.0
Luc De Fougerolles,DEF,Fulham,0,,False,0,1650.0,0.0,1.0,0.0,0,0,0,0,6.0,2.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.0,2025-26,2026,0.0,0.0,1.0,0,0.0,0.0,0.037,0.0,0.0,0.0,1,0.0,0.037,0.74,1.0,stage4a,1.0
Anan Khalaili,DEF,Crystal Palace,0,,False,0,3087.0,3.0,5.0,0.0,0,0,0,0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2025-26,2026,0.0,0.0,1.0,0,0.0,0.06659999999999999,0.111,0.0,0.0,0.0,1,0.06659999999999999,0.111,0.74,1.0,stage4a,1.0
Jannik Schuster,DEF,Brentford,0,,False,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,N/A,0,0.0,0.0,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.89,0.1,stage4a,0.1
