fbref_name,fpl_name,previous_league,multiplier,fbref_season,fbref_team,fbref_position,appearances,goals,assists,xG,xA,shots_per_90,goals_per_90,assists_per_90,yellow_cards,red_cards,clean_sheets,saves,save_percentage,adjusted_goals,adjusted_assists,adjusted_goals_per_90,adjusted_assists_per_90,season_reliability,data_confidence,is_new_to_pl,fpl_position,fpl_team,fpl_price
Promise David,Promise David,Belgian Pro League,0.74,2024-25,Union SG,FW,34.0,19.0,4.0,0.0,0.0,2.78,0.88,0.19,9.0,0.0,0.0,0.0,0.0,14.06,2.96,0.6512,0.1406,1.0,,1,FWD,Brighton,6.0
Matias Fernandez-Pardo,Matias Fernandez-Pardo,Ligue 1,0.82,2024-25,Gent,"MF,FW",3.0,1.0,0.0,0.0,0.0,3.29,0.55,0.0,1.0,0.0,0.0,0.0,0.0,0.82,0.0,0.451,0.0,1.0,,1,FWD,Newcastle,6.0
Anan Khalaili,Anan Khalaili,Belgian Pro League,0.74,2024-25,Union SG,MF,34.0,2.0,4.0,0.0,0.0,1.52,0.08,0.16,6.0,0.0,0.0,0.0,0.0,1.48,2.96,0.0592,0.1184,1.0,,1,DEF,Crystal Palace,5.0
Adrián Palacios,César Palacios,La Liga,0.92,2024-25,Genk,DF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,1,MID,Fulham,5.5
Mike Penders,Mike Penders,Belgian Pro League,0.74,2024-25,Genk,GK,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,52.0,76.9,0.0,0.0,0.0,0.0,1.0,,1,GK,Chelsea,4.5
Luka Vušković,Luka Vušković,Belgian Pro League,0.74,2024-25,Westerlo,DF,36.0,7.0,2.0,0.0,0.0,1.43,0.21,0.06,6.0,1.0,0.0,0.0,0.0,5.18,1.48,0.15539999999999998,0.044399999999999995,1.0,,1,DEF,Brighton,5.0
Jules Ahoka,Jules Ahoka,Belgian Pro League,0.74,2025-26,Antwerp,DF,2.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,1,MID,Sunderland,4.5
Promise David,Promise David,Belgian Pro League,0.74,2025-26,Union SG,FW,24.0,9.0,1.0,0.0,0.0,4.23,0.54,0.06,1.0,0.0,0.0,0.0,0.0,6.66,0.74,0.3996,0.044399999999999995,1.0,,1,FWD,Brighton,6.0
Luc De Fougerolles,Luc De Fougerolles,Belgian Pro League,0.74,2025-26,Dender,DF,27.0,0.0,1.0,0.0,0.0,0.27,0.0,0.05,6.0,2.0,0.0,0.0,0.0,0.0,0.74,0.0,0.037,1.0,,1,DEF,Fulham,4.0
Enis Destan,Enis Destan,Belgian Pro League,0.74,2025-26,Westerlo,FW,3.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,1,FWD,Hull City,4.5
