team,season,GW,goals_scored_for,goals_conceded,was_home,opponent,clean_sheet,win,draw,points_earned,goals_scored_last5,goals_conceded_last5,clean_sheet_rate_last5,wins_last5,form_points_last5,goals_scored_last3,goals_conceded_last3,home_goals_scored_season,away_goals_scored_season,home_goals_conceded_season,away_goals_conceded_season,attacking_strength,defensive_strength
Arsenal,2020-21,37,2,1,False,Crystal Palace,0,1,0,3,1.6,0.6,0.4,3.0,9.0,1.6666666666666667,0.6666666666666666,1.1111111111111112,1.411764705882353,1.1666666666666667,1.0,0.6666666666666666,0.9090909090909092
Arsenal,2020-21,38,2,0,True,Brighton,1,1,0,3,1.4,0.8,0.2,3.0,9.0,2.3333333333333335,0.6666666666666666,1.1111111111111112,1.4444444444444444,1.1666666666666667,1.0,0.5555555555555554,0.8
Arsenal,2021-22,1,0,2,False,Brentford,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
Arsenal,2021-22,2,0,2,True,Chelsea,0,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.6
Arsenal,2021-22,3,0,5,False,Man City,0,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.5
Arsenal,2021-22,4,1,0,True,Norwich,1,1,0,3,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.5,0.0,0.10000000000000009
Arsenal,2021-22,5,1,0,False,Burnley,1,1,0,3,0.25,2.25,0.25,1.0,3.0,0.3333333333333333,2.3333333333333335,0.5,0.0,1.0,3.5,0.1,0.2727272727272727
Arsenal,2021-22,6,3,1,True,Spurs,0,1,0,3,0.4,1.8,0.4,2.0,6.0,0.6666666666666666,1.6666666666666667,0.5,0.3333333333333333,1.0,2.3333333333333335,0.16666666666666669,0.38461538461538447
Arsenal,2021-22,7,0,0,False,Brighton,1,0,1,1,1.0,1.6,0.4,3.0,9.0,1.6666666666666667,0.3333333333333333,1.3333333333333333,0.3333333333333333,1.0,2.3333333333333335,0.4,0.3846153846153846
Arsenal,2021-22,8,1,2,True,Crystal Palace,0,0,0,0,1.0,1.2,0.6,3.0,10.0,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.25,1.0,1.75,0.33333333333333326,0.5
Arsenal,2021-22,9,3,1,True,Aston Villa,0,1,0,3,1.2,0.6,0.6,3.0,10.0,1.3333333333333333,1.0,1.25,0.25,1.25,1.75,0.35714285714285715,0.9
Arsenal,2021-22,10,2,0,False,Leicester,1,1,0,3,1.6,0.8,0.4,3.0,10.0,1.3333333333333333,1.0,1.6,0.25,1.2,1.75,0.43750000000000006,0.8
Arsenal,2021-22,11,1,0,True,Watford,1,1,0,3,1.8,0.8,0.4,3.0,10.0,2.0,1.0,1.6,0.6,1.2,1.4,0.5000000000000001,0.8
Arsenal,2021-22,12,0,4,False,Liverpool,0,0,0,0,1.4,0.6,0.6,3.0,10.0,2.0,0.3333333333333333,1.5,0.6,1.0,1.4,0.3333333333333333,0.9090909090909092
Arsenal,2021-22,13,1,0,True,Newcastle,1,1,0,3,1.4,1.4,0.4,3.0,9.0,1.0,1.3333333333333333,1.5,0.5,1.0,1.8333333333333333,0.30769230769230765,0.5714285714285714
Arsenal,2021-22,14,2,3,False,Man Utd,0,0,0,0,1.4,1.0,0.6,4.0,12.0,0.6666666666666666,1.3333333333333333,1.4285714285714286,0.5,0.8571428571428571,1.8333333333333333,0.3333333333333333,0.7
Arsenal,2021-22,15,1,2,False,Everton,0,0,0,0,1.2,1.4,0.6,3.0,9.0,1.0,2.3333333333333335,1.4285714285714286,0.7142857142857143,0.8571428571428571,2.0,0.3333333333333333,0.4285714285714286
Arsenal,2021-22,16,3,0,True,Southampton,1,1,0,3,1.0,1.8,0.4,2.0,6.0,1.3333333333333333,1.6666666666666667,1.4285714285714286,0.75,0.8571428571428571,2.0,0.3636363636363637,0.2499999999999999
Arsenal,2021-22,17,1,0,True,West Ham,1,1,0,3,1.4,1.8,0.4,2.0,6.0,2.0,1.6666666666666667,1.625,0.75,0.75,2.0,0.5454545454545455,0.2727272727272726
Arsenal,2021-22,18,3,1,False,Leeds,0,1,0,3,1.6,1.0,0.6,3.0,9.0,1.6666666666666667,0.6666666666666666,1.5555555555555556,0.75,0.6666666666666666,2.0,0.5833333333333334,0.7
Arsenal,2021-22,19,4,0,False,Norwich,1,1,0,3,2.0,1.2,0.4,3.0,9.0,2.3333333333333335,0.3333333333333333,1.5555555555555556,1.0,0.6666666666666666,1.8888888888888888,0.6,0.6000000000000001
Arsenal,2021-22,21,1,2,True,Man City,0,0,0,0,2.4,0.6,0.6,4.0,12.0,2.6666666666666665,0.3333333333333333,1.5555555555555556,1.3,0.6666666666666666,1.7,0.6666666666666666,0.9285714285714286
Arsenal,2021-22,23,0,0,True,Burnley,1,0,1,1,2.4,0.6,0.6,4.0,12.0,2.6666666666666665,1.0,1.5,1.3,0.8,1.7,0.8461538461538461,0.9333333333333333
Arsenal,2021-22,24,1,0,False,Wolves,1,1,0,3,1.8,0.6,0.6,3.0,10.0,1.6666666666666667,0.6666666666666666,1.3636363636363635,1.3,0.7272727272727273,1.7,0.7777777777777776,0.9230769230769231
Arsenal,2021-22,26,2,1,True,Brentford,0,1,0,3,1.8,0.6,0.6,3.0,10.0,0.6666666666666666,0.6666666666666666,1.3636363636363635,1.2727272727272727,0.7272727272727273,1.5454545454545454,0.888888888888889,0.888888888888889
Arsenal,2021-22,28,3,2,False,Watford,0,1,0,3,1.6,0.6,0.6,3.0,10.0,1.0,0.3333333333333333,1.4166666666666667,1.2727272727272727,0.75,1.5454545454545454,0.7000000000000001,0.9230769230769231
Arsenal,2021-22,29,2,0,True,Leicester,1,1,0,3,1.4,1.0,0.4,3.0,10.0,2.0,1.0,1.4166666666666667,1.4166666666666667,0.75,1.5833333333333333,0.4444444444444445,0.7857142857142858
Arsenal,2021-22,30,1,0,False,Aston Villa,1,1,0,3,1.6,0.6,0.6,4.0,13.0,2.3333333333333335,1.0,1.4615384615384615,1.4166666666666667,0.6923076923076923,1.5833333333333333,0.5555555555555556,1.0
Arsenal,2021-22,31,0,3,False,Crystal Palace,0,0,0,0,1.8,0.6,0.6,5.0,15.0,2.0,0.6666666666666666,1.4615384615384615,1.3846153846153846,0.6923076923076923,1.4615384615384615,0.5454545454545456,0.8461538461538461
Arsenal,2021-22,32,1,2,True,Brighton,0,0,0,0,1.6,1.2,0.4,4.0,12.0,1.0,1.0,1.4615384615384615,1.2857142857142858,0.6923076923076923,1.5714285714285714,0.5000000000000001,0.5454545454545454
Arsenal,2021-22,33,0,2,False,Southampton,0,0,0,0,1.4,1.4,0.4,3.0,9.0,0.6666666666666666,1.6666666666666667,1.4285714285714286,1.2857142857142858,0.7857142857142857,1.5714285714285714,0.3846153846153846,0.6000000000000001
Arsenal,2021-22,34,3,1,True,Man Utd,0,1,0,3,0.8,1.4,0.4,2.0,6.0,0.3333333333333333,2.3333333333333335,1.4285714285714286,1.2,0.7857142857142857,1.6,0.09090909090909095,0.5454545454545455
Arsenal,2021-22,35,2,1,False,West Ham,0,1,0,3,1.0,1.6,0.2,2.0,6.0,1.3333333333333333,1.6666666666666667,1.5333333333333334,1.2,0.8,1.6,0.2727272727272727,0.4545454545454545
Arsenal,2021-22,36,2,1,True,Leeds,0,1,0,3,1.2,1.8,0.0,2.0,6.0,1.6666666666666667,1.3333333333333333,1.5333333333333334,1.25,0.8,1.5625,0.30769230769230765,0.41666666666666663
Arsenal,2021-22,37,0,2,False,Newcastle,0,0,0,0,1.6,1.4,0.0,3.0,9.0,2.3333333333333335,1.0,1.5625,1.25,0.8125,1.5625,0.4000000000000001,0.6000000000000001
Arsenal,2021-22,38,5,1,True,Everton,0,1,0,3,1.4,1.4,0.0,3.0,9.0,1.3333333333333333,1.3333333333333333,1.5625,1.1764705882352942,0.8125,1.588235294117647,0.3571428571428571,0.6153846153846154
Arsenal,2022-23,1,1,0,False,Crystal Palace,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
Arsenal,2022-23,2,4,2,True,Leicester,0,1,0,3,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,1.0
Arsenal,2022-23,3,3,0,False,Bournemouth,1,1,0,3,2.5,1.0,0.5,2.0,6.0,2.5,1.0,4.0,1.0,2.0,0.0,0.8333333333333334,0.6666666666666667
Arsenal,2022-23,4,2,1,True,Fulham,0,1,0,3,2.6666666666666665,0.6666666666666666,0.6666666666666666,3.0,9.0,2.6666666666666665,0.6666666666666666,4.0,2.0,2.0,0.0,1.0,0.8571428571428571
Arsenal,2022-23,5,2,1,True,Aston Villa,0,1,0,3,2.5,0.75,0.5,4.0,12.0,3.0,1.0,3.0,2.0,1.5,0.0,0.8181818181818182,0.8666666666666667
