name,position,team,GW,opponent_team,was_home,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,transfers_in,transfers_out,selected,value,season,season_year,form_last3,form_last5,minutes_reliability_season,cumulative_points_season,avg_points_per_game_season,goals_per_game_season,assists_per_game_season,clean_sheet_rate_season,saves_per_game_season,points_per_million
Aaron Cresswell,DEF,West Ham,46,Man Utd,False,2,74,0,0,0,1,0,0,0,0,0,0,0,12,3.6,2.4,0.0,0.6,3995,7045,121786,4.5,2019-20,2020,3.2,2.8,0.9667,78,2.6,0.1,0.0,0.1667,0.0,0.4444
Aaron Wan-Bissaka,DEF,Man Utd,1,Chelsea,True,8,90,0,0,1,0,0,0,0,0,0,0,2,34,30.4,16.1,2.0,4.9,0,0,1879259,5.5,2019-20,2020,0.0,0.0,1.0,8,8.0,0.0,0.0,1.0,0.0,1.4545
Aaron Wan-Bissaka,DEF,Man Utd,2,Wolves,False,1,90,0,0,0,1,0,0,0,1,0,0,0,19,28.0,11.0,5.0,4.4,142479,54212,2177360,5.5,2019-20,2020,8.0,8.0,1.0,9,4.5,0.0,0.0,0.5,0.0,0.1818
Aaron Wan-Bissaka,DEF,Man Utd,3,Crystal Palace,True,0,90,0,0,0,2,0,0,0,1,0,0,0,9,11.8,21.1,2.0,3.5,194446,95067,2349140,5.6,2019-20,2020,3.625,3.9167,1.0,9,3.0,0.0,0.0,0.3333,0.0,0.0
Aaron Wan-Bissaka,DEF,Man Utd,4,Southampton,False,2,90,0,0,0,1,0,0,0,0,0,0,0,13,27.0,13.2,10.0,5.0,59340,218957,2212774,5.6,2019-20,2020,1.9,2.3125,1.0,11,2.75,0.0,0.0,0.25,0.0,0.3571
Aaron Wan-Bissaka,DEF,Man Utd,5,Leicester,True,6,90,0,0,1,0,0,0,0,0,0,0,0,21,14.2,12.4,0.0,2.7,21884,521911,1719305,5.5,2019-20,2020,1.2,2.0217,1.0,17,3.4,0.0,0.0,0.4,0.0,1.0909
Aaron Wan-Bissaka,DEF,Man Utd,6,West Ham,False,1,90,0,0,0,2,0,0,0,0,0,0,0,16,18.8,2.4,2.0,2.3,50402,61712,1748887,5.5,2019-20,2020,3.6,3.36,1.0,18,3.0,0.0,0.0,0.3333,0.0,0.1818
Aaron Wan-Bissaka,DEF,Man Utd,9,Liverpool,True,2,90,0,0,0,1,0,0,0,0,0,0,0,12,12.4,12.7,2.0,2.7,1413,191466,1224192,5.4,2019-20,2020,2.7,2.33,1.0,20,2.8571,0.0,0.0,0.2857,0.0,0.3704
Aaron Wan-Bissaka,DEF,Man Utd,10,Norwich,False,1,90,0,0,0,1,0,0,0,1,0,0,0,11,36.0,4.2,0.0,4.0,22153,32392,1225533,5.4,2019-20,2020,2.5,2.39,1.0,21,2.625,0.0,0.0,0.25,0.0,0.1852
Aaron Wan-Bissaka,DEF,Man Utd,11,Bournemouth,False,2,80,0,0,0,1,0,0,0,0,0,0,0,16,17.2,2.8,0.0,2.0,36330,42897,1223982,5.4,2019-20,2020,1.3,1.93,1.0,23,2.5556,0.0,0.0,0.2222,0.0,0.3704
Aaron Wan-Bissaka,DEF,Man Utd,12,Brighton,True,2,90,0,0,0,1,0,0,0,0,0,0,0,14,23.0,12.2,6.0,4.1,24488,50034,1206868,5.4,2019-20,2020,1.7,1.95,1.0,25,2.5,0.0,0.0,0.2,0.0,0.3704
Aaron Wan-Bissaka,DEF,Man Utd,13,Sheffield Utd,False,0,90,0,0,0,3,0,0,0,1,0,0,0,9,12.4,5.2,0.0,1.8,13596,55591,1163803,5.4,2019-20,2020,1.8,1.72,1.0,25,2.2727,0.0,0.0,0.1818,0.0,0.0
Aaron Wan-Bissaka,DEF,Man Utd,14,Aston Villa,True,1,90,0,0,0,2,0,0,0,0,0,0,0,11,13.0,16.7,23.0,5.3,5782,58020,1113979,5.4,2019-20,2020,1.0,1.18,1.0,26,2.1667,0.0,0.0,0.1667,0.0,0.1852
Aaron Wan-Bissaka,DEF,Man Utd,15,Spurs,True,2,90,0,0,0,1,0,0,0,0,0,0,0,14,15.0,2.6,6.0,2.4,2155,50132,1067898,5.3,2019-20,2020,0.9,1.07,1.0,28,2.1538,0.0,0.0,0.1538,0.0,0.3774
Aaron Wan-Bissaka,DEF,Man Utd,16,Man City,False,3,90,0,0,0,1,0,0,0,0,0,0,1,24,41.4,10.9,0.0,5.2,4386,42112,1032199,5.3,2019-20,2020,1.3,1.35,1.0,31,2.2143,0.0,0.0,0.1429,0.0,0.566
Aaron Wan-Bissaka,DEF,Man Utd,17,Everton,True,4,90,0,0,0,1,0,0,0,0,0,0,2,26,22.8,3.8,0.0,2.7,34631,20424,1053050,5.3,2019-20,2020,2.3,1.91,1.0,35,2.3333,0.0,0.0,0.1333,0.0,0.7547
Aaron Wan-Bissaka,DEF,Man Utd,18,Watford,False,1,90,0,0,0,2,0,0,0,0,0,0,0,4,11.8,1.6,0.0,1.3,60812,15811,1126931,5.3,2019-20,2020,3.3,2.67,1.0,36,2.25,0.0,0.0,0.125,0.0,0.1887
Aaron Wan-Bissaka,DEF,Man Utd,19,Newcastle,True,6,90,0,1,0,1,0,0,0,0,0,0,1,30,35.6,22.9,0.0,5.9,8122,29389,1083075,5.3,2019-20,2020,2.3,2.27,1.0,42,2.4706,0.0,0.0588,0.1176,0.0,1.1321
Aaron Wan-Bissaka,DEF,Man Utd,21,Arsenal,False,1,90,0,0,0,2,0,0,0,0,0,0,0,15,14.8,6.3,4.0,2.5,12912,37097,1058567,5.3,2019-20,2020,4.1,3.67,1.0,43,2.3889,0.0,0.0556,0.1111,0.0,0.1887
Aaron Wan-Bissaka,DEF,Man Utd,22,Norwich,True,6,90,0,0,1,0,0,0,0,0,0,0,0,22,10.6,8.3,6.0,2.5,13717,33447,1043175,5.3,2019-20,2020,2.5,2.77,1.0,49,2.5789,0.0,0.0526,0.1579,0.0,1.1321
Aaron Wan-Bissaka,DEF,Man Utd,23,Liverpool,False,1,90,0,0,0,2,0,0,0,0,0,0,0,21,24.2,22.6,12.0,5.9,7237,29898,1022721,5.3,2019-20,2020,4.5,3.99,1.0,50,2.5,0.0,0.05,0.15,0.0,0.1887
Aaron Wan-Bissaka,DEF,Man Utd,24,Burnley,True,1,90,0,0,0,2,0,0,0,0,0,0,0,13,29.6,53.2,4.0,8.7,11361,19842,1017565,5.3,2019-20,2020,2.5,2.85,1.0,51,2.4286,0.0,0.0476,0.1429,0.0,0.1887
Aaron Wan-Bissaka,DEF,Man Utd,25,Wolves,True,9,90,0,0,1,0,0,0,0,0,0,0,3,31,34.0,32.8,0.0,6.7,7133,25940,1000671,5.3,2019-20,2020,2.0,2.4,1.0,60,2.7273,0.0,0.0455,0.1818,0.0,1.6981
Aaron Wan-Bissaka,DEF,Man Utd,26,Chelsea,False,10,90,0,1,1,0,0,0,0,1,0,0,2,33,45.4,15.0,0.0,6.0,10876,11199,1003186,5.3,2019-20,2020,5.0,4.4,1.0,70,3.0435,0.0,0.087,0.2174,0.0,1.8868
Aaron Wan-Bissaka,DEF,Man Utd,27,Watford,True,6,90,0,0,1,0,0,0,0,0,0,0,0,25,5.6,1.3,4.0,1.1,50502,8152,1051382,5.3,2019-20,2020,7.9,6.55,1.0,76,3.1667,0.0,0.0833,0.25,0.0,1.1321
Aaron Wan-Bissaka,DEF,Man Utd,28,Everton,False,2,90,0,0,0,1,0,0,0,0,0,0,0,9,11.0,15.9,0.0,2.7,37357,10991,1089317,5.3,2019-20,2020,7.8,6.6,1.0,78,3.12,0.0,0.08,0.24,0.0,0.3774
Aaron Wan-Bissaka,DEF,Man Utd,29,Man City,True,7,90,0,0,1,0,0,0,0,0,0,0,1,25,33.4,10.9,2.0,4.6,9620,44591,1039230,5.3,2019-20,2020,4.8,5.36,1.0,85,3.2692,0.0,0.0769,0.2692,0.0,1.3208
Aaron Wan-Bissaka,DEF,Man Utd,39,Spurs,False,2,90,0,0,0,1,0,0,0,0,0,0,0,16,21.8,21.8,0.0,4.4,92435,75267,1101595,5.3,2019-20,2020,5.3,6.07,1.0,87,3.2222,0.0,0.0741,0.2593,0.0,0.3774
Aaron Wan-Bissaka,DEF,Man Utd,40,Sheffield Utd,True,11,90,0,1,1,0,0,0,0,0,0,0,2,36,28.2,19.8,6.0,5.4,49615,21769,1140117,5.3,2019-20,2020,3.5,4.37,1.0,98,3.5,0.0,0.1071,0.2857,0.0,2.0755
Aaron Wan-Bissaka,DEF,Man Utd,41,Brighton,False,10,90,0,1,1,0,0,0,0,0,0,0,1,38,34.0,27.7,4.0,6.6,102841,8359,1247577,5.4,2019-20,2020,7.5,6.47,1.0,108,3.7241,0.0,0.1379,0.3103,0.0,1.8519
Aaron Wan-Bissaka,DEF,Man Utd,42,Bournemouth,True,1,90,0,0,0,2,0,0,0,0,0,0,0,14,18.8,3.6,4.0,2.6,231688,10157,1484251,5.5,2019-20,2020,8.7,7.65,1.0,109,3.6333,0.0,0.1333,0.3,0.0,0.1818
Aaron Wan-Bissaka,DEF,Man Utd,43,Aston Villa,False,5,65,0,0,1,0,0,0,0,1,0,0,0,13,2.6,3.2,7.0,1.3,75256,58035,1481804,5.5,2019-20,2020,5.7,5.85,1.0,114,3.6774,0.0,0.129,0.3226,0.0,0.9091
Aaron Wan-Bissaka,DEF,Man Utd,44,Southampton,True,0,90,0,0,0,2,0,0,0,1,0,0,0,6,10.4,2.4,2.0,1.5,58017,46642,1493477,5.5,2019-20,2020,4.8,5.48,1.0,114,3.5625,0.0,0.125,0.3125,0.0,0.0
Aaron Wan-Bissaka,DEF,Man Utd,45,Crystal Palace,False,5,90,0,0,1,0,0,0,0,1,0,0,0,28,21.2,5.7,20.0,4.7,37772,39048,1505171,5.5,2019-20,2020,1.7,3.53,1.0,119,3.6061,0.0,0.1212,0.3333,0.0,0.9091
Aaron Wan-Bissaka,DEF,Man Utd,46,West Ham,True,1,45,0,0,0,0,0,0,0,0,0,0,0,5,12.0,12.2,0.0,2.4,39333,35909,1501045,5.5,2019-20,2020,3.5,3.67,0.9706,120,3.5294,0.0,0.1176,0.3235,0.0,0.1818
Aaron Wan-Bissaka,DEF,Man Utd,47,Leicester,False,7,90,0,0,1,0,0,0,0,0,0,0,1,26,20.8,8.8,0.0,3.0,11902,74849,1391007,5.5,2019-20,2020,2.0,2.28,0.9714,127,3.6286,0.0,0.1143,0.3429,0.0,1.2727
Adam Masina,DEF,Watford,10,Bournemouth,True,6,72,0,0,1,0,0,0,0,0,0,0,0,18,5.4,12.2,0.0,1.8,42,86,4220,4.3,2019-20,2020,0.0,0.0,1.0,6,6.0,0.0,0.0,1.0,0.0,1.3953
Adam Masina,DEF,Watford,11,Chelsea,True,1,90,0,0,0,2,0,0,0,0,0,0,0,6,15.4,10.3,5.0,3.1,164,72,4428,4.3,2019-20,2020,6.0,6.0,1.0,7,3.5,0.0,0.0,0.5,0.0,0.2326
Adam Masina,DEF,Watford,13,Burnley,True,0,45,0,0,0,3,0,0,0,0,0,0,0,7,13.0,11.5,0.0,2.5,132,168,4524,4.3,2019-20,2020,2.875,3.0833,0.6667,7,2.3333,0.0,0.0,0.3333,0.0,0.0
Adam Masina,DEF,Watford,14,Southampton,False,1,90,0,0,0,2,0,0,0,0,0,0,0,9,18.6,0.4,2.0,2.1,58,128,4503,4.3,2019-20,2020,1.5,1.8125,0.75,8,2.0,0.0,0.0,0.25,0.0,0.2326
Adam Masina,DEF,Watford,15,Leicester,False,0,90,0,0,0,2,0,0,0,1,0,0,0,5,17.2,15.8,0.0,3.3,29,78,4482,4.3,2019-20,2020,0.7,1.3804,0.8,8,1.6,0.0,0.0,0.2,0.0,0.0
Adam Masina,DEF,Watford,16,Crystal Palace,True,6,90,0,0,1,0,0,0,0,0,0,0,0,19,12.4,12.1,4.0,2.9,109,95,4540,4.3,2019-20,2020,0.3,0.85,0.8333,14,2.3333,0.0,0.0,0.3333,0.0,1.3953
Adam Masina,DEF,Watford,22,Bournemouth,False,7,90,0,0,1,0,0,0,0,0,0,0,1,30,24.4,5.1,4.0,3.4,130,115,4479,4.3,2019-20,2020,3.2,2.38,0.8571,21,3.0,0.0,0.0,0.4286,0.0,1.6279
Adam Masina,DEF,Watford,23,Spurs,True,6,90,0,0,1,0,0,0,0,0,0,0,0,24,10.6,5.3,4.0,2.0,887,234,5228,4.3,2019-20,2020,5.3,4.07,0.875,27,3.375,0.0,0.0,0.5,0.0,1.3953
Adam Masina,DEF,Watford,24,Aston Villa,False,1,90,0,0,0,2,0,0,0,0,0,0,0,17,18.2,19.3,0.0,3.8,1555,242,6792,4.3,2019-20,2020,6.3,5.13,0.8889,28,3.1111,0.0,0.0,0.4444,0.0,0.2326
Adam Masina,DEF,Watford,25,Everton,True,6,90,1,0,0,3,0,0,0,1,0,0,0,20,51.6,15.8,21.0,8.8,3084,889,9021,4.3,2019-20,2020,3.7,3.97,0.9,34,3.4,0.1,0.0,0.4,0.0,1.3953
Adam Masina,DEF,Watford,26,Brighton,False,2,90,0,0,0,1,0,0,0,0,0,0,0,11,24.2,0.7,2.0,2.7,9777,1767,17850,4.3,2019-20,2020,4.5,4.87,0.9091,36,3.2727,0.0909,0.0,0.3636,0.0,0.4651
Adam Masina,DEF,Watford,27,Man Utd,False,1,90,0,0,0,3,0,0,0,0,0,0,0,11,15.0,6.8,10.0,3.2,3470,2177,19075,4.3,2019-20,2020,3.0,3.68,0.9167,37,3.0833,0.0833,0.0,0.3333,0.0,0.2326
Adam Masina,DEF,Watford,28,Liverpool,True,7,90,0,0,1,0,0,0,0,0,0,0,1,29,20.8,25.2,2.0,4.8,324,1329,17615,4.3,2019-20,2020,2.3,2.65,0.9231,44,3.3846,0.0769,0.0,0.3846,0.0,1.6279
Adam Masina,DEF,Watford,29,Crystal Palace,False,2,90,0,0,0,1,0,0,0,0,0,0,0,6,24.0,9.6,4.0,3.8,5056,1159,22440,4.3,2019-20,2020,4.2,3.9,0.9286,46,3.2857,0.0714,0.0,0.3571,0.0,0.4651
Adam Masina,DEF,Watford,39,Leicester,True,8,87,0,0,1,0,0,0,0,0,0,0,2,24,11.6,14.3,1.0,2.7,1781,6172,17463,4.3,2019-20,2020,3.3,3.37,0.9333,54,3.6,0.0667,0.0,0.4,0.0,1.8605
Adam Masina,DEF,Watford,40,Burnley,False,2,90,0,0,0,1,0,0,0,0,0,0,0,6,12.8,1.1,8.0,2.2,9664,2168,26445,4.3,2019-20,2020,6.0,4.98,0.9375,56,3.5,0.0625,0.0,0.375,0.0,0.4651
Adam Masina,DEF,Watford,41,Southampton,True,1,73,0,0,0,2,0,0,0,0,0,0,0,6,8.8,1.5,0.0,1.0,2916,959,28012,4.3,2019-20,2020,3.8,4.02,0.9412,57,3.3529,0.0588,0.0,0.3529,0.0,0.2326
Adam Masina,DEF,Watford,43,Norwich,True,2,90,0,0,0,1,0,0,0,0,0,0,0,6,0.4,1.8,2.0,0.4,5688,1307,32402,4.3,2019-20,2020,2.7,3.25,0.9444,59,3.2778,0.0556,0.0,0.3333,0.0,0.4651
Adam Masina,DEF,Watford,44,Newcastle,True,2,90,0,0,0,1,0,0,0,0,0,0,0,7,7.0,0.3,0.0,0.7,2062,1932,32121,4.3,2019-20,2020,1.7,2.47,0.9474,61,3.2105,0.0526,0.0,0.3158,0.0,0.4651
