gameweek,team_h,team_a,team_h_difficulty,team_a_difficulty
35,8,10,2,3
35,11,17,1,1
35,13,20,3,4
35,19,18,2,2
36,3,2,3,3
36,9,8,3,3
36,10,4,3,2
36,12,1,5,5
36,14,19,2,3
36,15,6,3,4
36,16,11,1,4
36,17,13,4,1
36,18,7,3,3
36,20,5,3,3
37,1,15,4,5
37,2,18,2,4
37,4,9,3,3
37,5,12,5,3
37,6,14,2,4
37,7,20,3,3
37,8,17,1,3
37,11,10,2,1
37,13,3,3,4
37,19,16,4,2
38,3,11,1,3
38,9,13,4,3
38,10,19,2,2
38,12,7,3,5
38,14,2,3,3
38,15,8,3,4
38,16,6,3,4
38,17,1,5,1
38,18,5,3,3
38,20,4,3,3
