team,season,GW,goals_scored_for,goals_conceded,was_home,opponent,clean_sheet,win,draw,points_earned,goals_scored_last5,goals_conceded_last5,clean_sheet_rate_last5,wins_last5,form_points_last5,goals_scored_last3,goals_conceded_last3,home_goals_scored_season,away_goals_scored_season,home_goals_conceded_season,away_goals_conceded_season,attacking_strength,defensive_strength,xG_last5,xGA_last5,xG_last3,xGA_last3,xG_season_avg,xGA_season_avg,home_xG_season,away_xG_season,home_xGA_season,away_xGA_season,clean_sheet_probability
Arsenal,2019-20,22,1,1,False,Crystal Palace,0,0,1,1,0.8,1.4,0.2,1.0,4.0,1.3333333333333333,1.0,1.5454545454545454,1.0,1.6363636363636365,1.5,0.2,0.36363636363636376,1.0561504,1.1897812,1.3724413333333334,1.2556176666666667,1.3226630952380953,1.4216694761904762,1.3614755454545455,1.2799694,1.5528036363636362,1.2774218999999998,0.3042878349618722
Arsenal,2019-20,23,1,3,True,Sheffield Utd,0,0,0,0,1.0,1.0,0.2,1.0,5.0,1.3333333333333333,1.0,1.5454545454545454,1.0,1.6363636363636365,1.4545454545454546,0.28571428571428575,0.6153846153846154,1.2876764,0.9142475999999998,1.377308,0.8433616666666669,1.3279620454545453,1.371496409090909,1.3614755454545455,1.2944485454545454,1.5528036363636362,1.1901891818181818,0.400818088196112
Arsenal,2019-20,24,2,2,False,Chelsea,0,0,1,1,1.2,1.4,0.2,1.0,5.0,1.3333333333333333,1.3333333333333333,1.5,1.0,1.75,1.4545454545454546,0.3846153846153847,0.36363636363636376,1.3570768000000002,1.0538310000000002,1.5251766666666668,0.7392883333333335,1.3236515217391305,1.3633635217391304,1.3504209166666667,1.2944485454545454,1.5221066666666665,1.1901891818181818,0.34859970225954817
Arsenal,2019-20,25,0,0,False,Burnley,1,0,1,1,1.4,1.6,0.2,1.0,5.0,1.3333333333333333,2.0,1.5,1.0833333333333333,1.75,1.5,0.49999999999999994,0.36363636363636354,1.1857642,1.420129,1.0787123333333335,1.629474,1.29216925,1.4476450416666669,1.3504209166666667,1.2339175833333333,1.5221066666666665,1.3731834166666665,0.24168283779995173
Arsenal,2019-20,26,3,0,True,Newcastle,1,1,0,3,1.2,1.2,0.4,1.0,6.0,1.0,1.6666666666666667,1.5,1.0,1.75,1.3846153846153846,0.44444444444444436,0.5,1.3247714,1.5699210000000001,1.0923823333333333,2.27206,1.29969248,1.4795640399999999,1.3504209166666667,1.2528662307692309,1.5221066666666665,1.440293923076923,0.20806161857564873
Arsenal,2019-20,27,3,2,True,Everton,0,1,0,3,1.4,1.2,0.4,1.0,6.0,1.6666666666666667,0.6666666666666666,1.6153846153846154,1.0,1.6153846153846154,1.3846153846153846,0.5555555555555554,0.5833333333333333,1.5477914,1.6601324000000002,1.6902990000000002,2.2661200000000004,1.365957,1.4675277307692307,1.479047769230769,1.2528662307692309,1.4947615384615385,1.440293923076923,0.19011380736702685
Arsenal,2019-20,29,1,0,True,West Ham,1,1,0,3,1.8,1.4,0.4,2.0,8.0,2.0,0.6666666666666666,1.7142857142857142,1.0,1.6428571428571428,1.3846153846153846,0.8181818181818181,0.5,1.5270774,2.127942,1.9461633333333335,2.02305,1.3648352592592592,1.511578925925926,1.4688065,1.2528662307692309,1.5777721428571427,1.440293923076923,0.11908211283548337
Arsenal,2019-20,39,1,3,False,Brighton,0,0,0,0,1.8,0.8,0.6,3.0,11.0,2.3333333333333335,0.6666666666666666,1.6666666666666667,1.0,1.5333333333333334,1.3846153846153846,0.888888888888889,0.7272727272727272,1.5789978,2.0845100000000003,1.130723,2.33677,1.341622448275862,1.5574493448275863,1.4748687333333335,1.1988585714285716,1.5803306666666666,1.5329336428571427,0.12436804558016809
Arsenal,2019-20,40,1,0,False,Southampton,1,1,0,3,1.6,1.0,0.6,3.0,10.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,1.5333333333333334,1.5,0.7777777777777778,0.7272727272727273,1.4222017999999998,1.7695805999999998,0.9175896666666666,1.6747910000000001,1.3201107,1.5279001333333333,1.4748687333333335,1.1653526666666667,1.5803306666666666,1.4754695999999998,0.17040444146349368
Arsenal,2019-20,41,3,0,True,Norwich,1,1,0,3,1.8,1.0,0.6,4.0,12.0,1.0,1.0,1.6666666666666667,1.0,1.5333333333333334,1.4,0.7272727272727274,0.7,1.2548777999999998,1.6839175999999998,1.1263263333333333,1.382176,1.348041,1.502429322580645,1.4748687333333335,1.2291400000000001,1.5803306666666666,1.4293968124999998,0.185645265680724
Arsenal,2019-20,42,1,0,False,Wolves,1,1,0,3,1.8,1.0,0.6,4.0,12.0,1.6666666666666667,1.0,1.75,1.0,1.4375,1.4,0.75,0.6666666666666667,1.3407357999999998,1.1833098,1.54906,0.521049666666667,1.36106971875,1.460286875,1.4929994375,1.2291400000000001,1.4911769375,1.4293968124999998,0.3062633886616349
Arsenal,2019-20,43,1,1,True,Leicester,0,0,1,1,1.4,0.6,0.8,4.0,12.0,1.6666666666666667,0.0,1.75,1.0,1.4375,1.3125,0.5384615384615384,0.9166666666666667,1.2853337999999999,1.057113,1.7445466666666667,0.625780666666667,1.358695787878788,1.4458892727272727,1.4929994375,1.2322923529411767,1.4911769375,1.403265588235294,0.3474574734594885
Arsenal,2019-20,44,1,2,False,Spurs,0,0,0,0,1.4,0.8,0.6,3.0,10.0,1.6666666666666667,0.3333333333333333,1.7058823529411764,1.0,1.411764705882353,1.3125,0.4666666666666666,0.8888888888888888,1.4440279999999999,0.7101390000000001,1.4459733333333336,0.713805666666667,1.356682088235294,1.4328448823529412,1.4810718235294118,1.2322923529411767,1.462424176470588,1.403265588235294,0.4915758636668267
Arsenal,2019-20,45,2,1,True,Liverpool,0,1,0,3,1.4,0.6,0.6,3.0,10.0,1.0,1.0,1.7058823529411764,1.0,1.411764705882353,1.3529411764705883,0.39999999999999997,0.9090909090909092,1.4427560000000001,0.9396364,1.0876233333333332,1.2686686666666669,1.3376314571428571,1.4438624571428573,1.4810718235294118,1.2021600000000001,1.462424176470588,1.4263319444444444,0.39076989346405594
Arsenal,2019-20,46,0,1,False,Aston Villa,0,0,0,0,1.6,0.8,0.4,3.0,10.0,1.3333333333333333,1.3333333333333333,1.7222222222222223,1.0,1.3888888888888888,1.3529411764705883,0.5000000000000001,0.8181818181818181,1.268598,1.2366354000000002,1.0984333333333334,1.68138,1.33700725,1.4655135,1.4718545,1.2021600000000001,1.5046950555555556,1.4263319444444444,0.2903595199091546
Arsenal,2019-20,47,3,2,True,Watford,0,1,0,3,1.0,1.0,0.2,2.0,7.0,1.0,1.3333333333333333,1.7222222222222223,0.9444444444444444,1.3888888888888888,1.3333333333333333,0.30769230769230776,0.7,1.0630334000000001,1.3206772,0.914069,1.5386133333333334,1.3207945405405404,1.4414207027027026,1.4718545,1.177685105263158,1.5046950555555556,1.3814765789473682,0.2669544591796377
Arsenal,2020-21,1,3,0,False,Fulham,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,2020-21,2,1,1,True,West Ham,0,0,1,1,3.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.75,1.0,2.16287,0.126327,2.16287,0.126327,2.16287,0.126327,0.0,2.16287,0.0,0.126327,0.8813266058584776
Arsenal,2020-21,3,1,3,False,Liverpool,0,0,0,0,2.0,0.5,0.5,1.0,4.0,2.0,0.5,1.0,3.0,1.0,0.0,0.5714285714285714,0.875,1.7459449999999999,1.0950484999999999,1.7459449999999999,1.0950484999999999,1.7459449999999999,1.0950484999999999,1.32902,2.16287,2.06377,0.126327,0.3345233821711247
