name,season,GW,team,opponent_team,was_home,position,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,yellow_cards,red_cards,form_last3,form_last5,cumulative_points_season,avg_points_per_game_season,goals_per_game_season,assists_per_game_season,clean_sheet_rate_season,minutes_reliability_season,points_per_million,has_prev_league_data,prev_adjG_per_90,prev_adjA_per_90,prev_league_multiplier,prev_seasons_available,prev_reliability_avg,prev_minutes_avg,prev_small_sample,team_xG_last5,team_xGA_last5,team_attacking_strength,team_defensive_strength,team_clean_sheet_probability,team_goals_scored_last5,team_goals_conceded_last5,team_clean_sheet_rate_last5,team_form_points_last5,team_xG_season_avg,team_xGA_season_avg,opp_xG_last5,opp_xGA_last5,opp_attacking_strength,opp_defensive_strength,opp_clean_sheet_probability,opp_goals_scored_last5,opp_goals_conceded_last5,opp_clean_sheet_rate_last5,opp_form_points_last5,opp_xG_season_avg,opp_xGA_season_avg,current_gw_fdr,fdr_is_proxy,fixture_trajectory_score,trajectory_is_full,home_advantage,transfers_in,transfers_out,selected,value,prev_int_per_90,prev_tklW_per_90
Tim Ream,2022-23,27,Fulham,Arsenal,True,DEF,1,90,0,0,0,3,0,13,0,0,3.0,5.2,85.0,3.4,0.04,0.0,0.32,0.9602564102564104,184.7826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0006076,1.6511922,0.2222222222222222,0.8888888888888888,0.191821083149663,0.6,0.8,0.6,6.0,1.3398881538461538,1.8765228076923075,2.1630478,1.14223566,0.4444444444444445,0.4444444444444444,0.3191048138825226,1.0,1.6,0.2,5.0,2.055449423076923,1.035173896153846,2,1,2.0,0,1,6964,58221,337829,4.6,0.0,0.0
Tim Ream,2022-23,29,Fulham,Bournemouth,False,DEF,1,90,0,0,0,2,0,16,0,0,1.3333333333333333,3.8,86.0,3.3076923076923075,0.0384615384615384,0.0,0.3076923076923077,0.9617283950617284,186.95652173913044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0256034,1.8969602,0.1818181818181818,0.4545454545454545,0.1500239696478249,0.6,1.4,0.4,5.0,1.3131634074074074,1.9049312222222223,1.11642,2.389131,0.3636363636363637,0.1818181818181816,0.0917093446804002,1.0,2.0,0.4,6.0,0.9426820370370372,1.8879224444444445,4,1,4.0,0,0,14843,24483,269045,4.6,0.0,0.0
Tim Ream,2022-23,30,Fulham,West Ham,True,DEF,2,90,0,0,0,1,0,9,0,0,1.0,2.2,87.0,3.2222222222222223,0.037037037037037,0.0,0.2962962962962963,0.9298850574712644,189.13043478260872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8064052,2.3877034000000004,0.1538461538461538,0.3,0.0918403624390904,0.6,1.8,0.2,2.0,1.28773075,1.9490601071428573,1.536751,1.8002679999999998,0.3076923076923077,0.1999999999999999,0.1652545940552266,1.0,2.0,0.2,4.0,1.3092876785714285,1.2801719285714286,2,1,2.0,0,1,20602,14181,278388,4.6,0.0,0.0
Tim Ream,2022-23,31,Fulham,Everton,False,DEF,2,90,0,0,0,1,0,13,0,0,1.3333333333333333,1.4,89.0,3.1785714285714284,0.0357142857142857,0.0,0.2857142857142857,0.9322222222222222,193.4782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8528672,2.0914754,0.0,0.3333333333333332,0.1235047823724851,0.6,2.0,0.0,1.0,1.259068448275862,1.9243549310344827,1.3688116,2.0856866,0.1666666666666666,0.5833333333333334,0.1242218001907728,1.0,1.4,0.2,5.0,1.1394241866666666,1.8033900333333333,4,1,4.0,0,0,14655,13500,279830,4.6,0.0,0.0
Tim Ream,2022-23,32,Fulham,Leeds,True,DEF,2,90,0,0,0,1,0,13,0,0,1.6666666666666667,1.4,91.0,3.1379310344827585,0.0344827586206896,0.0,0.2758620689655172,0.9344086021505376,197.8260869565217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0546586000000002,2.34058,0.1666666666666666,0.5294117647058822,0.096271784399496,1.0,2.0,0.0,3.0,1.2811691666666667,1.9349637666666664,1.3546438,2.5109214,0.3333333333333333,0.0,0.0811933931721342,1.4,3.8,0.0,2.0,1.2675436451612905,1.7368120322580645,2,1,2.0,0,1,32847,10398,319813,4.6,0.0,0.0
Tim Ream,2022-23,33,Fulham,Aston Villa,False,DEF,2,90,0,0,0,1,0,16,0,0,2.0,1.6,93.0,3.1,0.0333333333333333,0.0,0.2666666666666666,0.9364583333333332,202.17391304347828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0071226,2.066828,0.25,0.6470588235294117,0.1265866784907713,1.2,1.6,0.0,6.0,1.2862162903225804,1.907217193548387,1.3557207999999998,1.148199,0.6666666666666667,1.0,0.3172075460307988,2.2,0.4,0.6,13.0,1.293502125,1.51341546875,4,1,4.0,0,0,8864,21730,289896,4.6,0.0,0.0
Tim Ream,2023-24,1,Fulham,Everton,False,DEF,7,90,0,0,1,0,1,28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,4.0,0,0,0,0,37677,4.5,0.0,0.0
Tim Ream,2023-24,2,Fulham,Brentford,True,DEF,-2,63,0,0,0,3,0,1,0,1,7.0,7.0,7.0,7.0,0.0,0.0,1.0,1.0,15.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58144,2.59001,0.3333333333333333,1.0,0.0750192898886771,1.0,0.0,1.0,3.0,1.58144,2.59001,1.90756,1.45316,0.6666666666666666,0.6,0.233830215913305,2.0,2.0,0.0,1.0,1.90756,1.45316,2,1,2.0,0,1,15386,2961,62637,4.5,0.0,0.0
Tim Ream,2023-24,4,Fulham,Man City,False,DEF,7,90,1,0,0,5,1,28,0,0,2.5,2.5,5.0,2.5,0.0,0.0,0.5,0.85,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9437186666666668,3.0965900000000004,0.4285714285714285,0.5789473684210525,0.0452030823900027,1.0,1.6666666666666667,0.3333333333333333,4.0,0.9437186666666668,3.0965900000000004,2.491353333333333,0.4434726666666666,0.8571428571428571,1.0,0.6418037761310771,2.0,0.3333333333333333,0.6666666666666666,9.0,2.491353333333333,0.4434726666666666,4,1,4.0,0,0,424,4432,37196,4.5,0.0,0.0
Tim Ream,2023-24,5,Fulham,Luton,True,DEF,8,90,0,0,1,0,2,28,0,0,4.0,4.0,12.0,4.0,0.3333333333333333,0.0,0.3333333333333333,0.675,26.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0738565,2.8228225,0.2222222222222222,0.3684210526315788,0.0594379421379805,1.0,2.5,0.25,4.0,1.0738565,2.8228225,1.4580403333333336,3.0023166666666667,0.074074074074074,0.2105263157894736,0.0496718618252491,0.6666666666666666,3.0,0.0,0.0,1.4580403333333336,3.0023166666666667,2,1,2.0,0,1,44643,5836,85081,4.5,0.0,0.0
