name,season,GW,team,opponent_team,was_home,position,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,yellow_cards,red_cards,form_last3,form_last5,cumulative_points_season,avg_points_per_game_season,goals_per_game_season,assists_per_game_season,clean_sheet_rate_season,minutes_reliability_season,points_per_million,has_prev_league_data,prev_adjG_per_90,prev_adjA_per_90,prev_league_multiplier,prev_seasons_available,prev_reliability_avg,prev_minutes_avg,prev_small_sample,team_xG_last5,team_xGA_last5,team_attacking_strength,team_defensive_strength,team_clean_sheet_probability,team_goals_scored_last5,team_goals_conceded_last5,team_clean_sheet_rate_last5,team_form_points_last5,team_xG_season_avg,team_xGA_season_avg,opp_xG_last5,opp_xGA_last5,opp_attacking_strength,opp_defensive_strength,opp_clean_sheet_probability,opp_goals_scored_last5,opp_goals_conceded_last5,opp_clean_sheet_rate_last5,opp_form_points_last5,opp_xG_season_avg,opp_xGA_season_avg,current_gw_fdr,fdr_is_proxy,fixture_trajectory_score,trajectory_is_full,home_advantage,transfers_in,transfers_out,selected,value
Aaron Connolly,2020-21,4,Brighton,Everton,False,FWD,2,65,0,0,0,3,0,7,0,0,3.6666666666666665,3.6666666666666665,11.0,3.6666666666666665,0.3333333333333333,0.0,0.3333333333333333,0.7666666666666667,20.0,0,0.0,0.0,0.0,0,0.0,0.0,0,2.0986666666666665,1.122376,0.6,0.4545454545454545,0.3255054740880881,2.0,2.0,0.3333333333333333,3.0,2.0986666666666665,1.122376,2.5674533333333334,0.5271353333333333,0.7999999999999999,0.7272727272727273,0.5902935441615976,2.6666666666666665,1.0,0.3333333333333333,9.0,2.5674533333333334,0.5271353333333333,4,1,4.0,0,0,10399,11710,55125,5.5
Aaron Connolly,2020-21,10,Brighton,Liverpool,True,FWD,2,62,0,0,0,1,0,0,0,0,4.0,3.25,13.0,3.25,0.25,0.0,0.25,0.7555555555555555,24.52830188679245,0,0.0,0.0,0.0,0,0.0,0.0,0,1.0110728,1.0242512,0.1818181818181818,0.75,0.3590652328132067,0.6,1.0,0.2,4.0,1.3907826666666667,1.2031915555555557,2.284228,1.3191496,0.6363636363636365,0.75,0.2673625704475041,1.6,1.0,0.2,9.0,2.3580844444444446,1.3360193333333334,2,1,2.0,0,1,591,2946,31760,5.3
Aaron Connolly,2020-21,11,Brighton,Southampton,True,FWD,2,63,0,0,0,1,0,0,0,0,2.0,3.0,15.0,3.0,0.2,0.0,0.2,0.3711111111111111,28.30188679245283,0,0.0,0.0,0.0,0,0.0,0.0,0,1.2538168,0.9282354,0.3,0.5555555555555556,0.3952505544936716,0.8,1.0,0.2,5.0,1.4824264,1.1109814,0.8615902,1.3922994000000002,1.0,0.3333333333333333,0.2485032388323017,2.2,1.4,0.4,10.0,1.0926892,1.3132726,2,1,2.0,0,1,4597,2317,35089,5.3
Aaron Connolly,2020-21,14,Brighton,Sheffield Utd,True,FWD,2,90,0,0,0,1,0,-1,0,0,2.0,3.2,17.0,2.833333333333333,0.1666666666666666,0.0,0.1666666666666666,0.401010101010101,32.075471698113205,0,0.0,0.0,0.0,0,0.0,0.0,0,1.4190978,1.208446,0.25,0.4285714285714286,0.298661038249396,0.8,1.4,0.2,5.0,1.3932425384615383,1.161985692307692,1.1605843999999998,1.857488,0.1249999999999999,0.0,0.1560641715853606,0.6,2.0,0.0,0.0,1.0594416923076924,1.720841615384615,2,1,2.0,0,1,979,2568,32454,5.3
Aaron Connolly,2020-21,17,Brighton,Wolves,True,FWD,5,45,1,0,0,3,0,27,0,0,2.0,2.0,19.0,2.7142857142857144,0.1428571428571428,0.0,0.1428571428571428,0.3865079365079365,36.53846153846154,0,0.0,0.0,0.0,0,0.0,0.0,0,1.2919953999999998,1.2775660000000002,0.0,0.5,0.2787148675070894,0.4,1.4,0.2,2.0,1.4573750625,1.177853375,0.8860494000000001,1.1862538,0.1818181818181818,0.5833333333333333,0.3053630751571551,0.8,1.2,0.0,4.0,0.955894125,1.310583125,2,1,2.0,0,1,717,1798,28722,5.2
Aaron Connolly,2020-21,23,Brighton,Burnley,False,FWD,2,61,0,0,0,1,0,3,0,0,3.0,2.6,24.0,3.0,0.25,0.0,0.125,0.3477124183006536,46.15384615384615,0,0.0,0.0,0.0,0,0.0,0.0,0,1.3152488,1.0269346,0.0909090909090908,0.9333333333333332,0.358103008760872,0.6,0.2,0.8,10.0,1.468956590909091,1.1726766818181815,0.5267137,1.93045,0.0909090909090908,0.4666666666666667,0.145082896488357,0.6,1.6,0.0,3.0,0.767736357142857,1.5460029047619046,4,1,4.0,0,0,821,780,24055,5.2
Aaron Connolly,2020-21,26,Brighton,West Brom,False,FWD,2,60,0,0,0,1,0,3,0,0,3.0,2.6,26.0,2.888888888888889,0.2222222222222222,0.0,0.1111111111111111,0.2864734299516908,50.0,0,0.0,0.0,0.0,0,0.0,0.0,0,1.7001344,0.7361932,0.1538461538461538,0.9375,0.4789336542677746,0.8,0.6,0.6,8.0,1.51416348,1.12048596,1.1954488,1.1534976,0.1538461538461538,0.6875,0.3155312350998392,0.8,1.4,0.2,3.0,0.764517368,1.93242988,4,1,4.0,0,0,1075,1157,24448,5.2
Aaron Connolly,2020-21,38,Brighton,Arsenal,False,FWD,1,45,0,0,0,2,0,3,0,0,3.0,2.6,28.0,2.8,0.2,0.0,0.1,0.279059829059829,53.84615384615385,0,0.0,0.0,0.0,0,0.0,0.0,0,1.4024674,1.0824536000000002,0.5555555555555554,0.6000000000000001,0.3387633154362034,1.4,1.2,0.2,7.0,1.449325945945946,1.057669945945946,1.216048,1.0199322,0.5555555555555554,0.8,0.3606193893388394,1.4,0.8,0.2,9.0,1.391202081081081,1.1631977567567566,4,1,4.0,0,0,425,290,22182,5.2
Aaron Connolly,2021-22,2,Brighton,Watford,True,FWD,1,45,0,0,0,0,0,-2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,1.6853,1.79548,0.2,0.8,0.1660477303045273,1.0,1.0,0.0,1.0,1.6853,1.79548,1.35036,1.13718,0.4,0.6,0.3207221843184281,2.0,2.0,0.0,1.0,1.35036,1.13718,2,1,2.0,0,1,1899,3581,15599,5.5
Aaron Connolly,2021-22,15,Brighton,Southampton,False,FWD,1,35,0,0,0,0,0,7,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.25,1.8867924528301885,0,0.0,0.0,0.0,0,0.0,0.0,0,1.3380033999999998,0.941236,0.1666666666666666,0.5714285714285714,0.3901453176114141,0.8,1.2,0.2,4.0,1.1948912142857144,1.2077421428571429,1.3629504,1.2678585999999998,0.25,0.2857142857142857,0.2814336389630051,1.0,1.6,0.4,7.0,1.3084620714285715,1.4251407857142857,4,1,4.0,0,0,720,629,9181,5.3
