name,season,GW,team,opponent_team,was_home,position,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,yellow_cards,red_cards,form_last3,form_last5,cumulative_points_season,avg_points_per_game_season,goals_per_game_season,assists_per_game_season,clean_sheet_rate_season,minutes_reliability_season,points_per_million,has_prev_league_data,prev_adjG_per_90,prev_adjA_per_90,prev_league_multiplier,prev_seasons_available,prev_reliability_avg,prev_minutes_avg,prev_small_sample,team_xG_last5,team_xGA_last5,team_attacking_strength,team_defensive_strength,team_clean_sheet_probability,team_goals_scored_last5,team_goals_conceded_last5,team_clean_sheet_rate_last5,team_form_points_last5,team_xG_season_avg,team_xGA_season_avg,opp_xG_last5,opp_xGA_last5,opp_attacking_strength,opp_defensive_strength,opp_clean_sheet_probability,opp_goals_scored_last5,opp_goals_conceded_last5,opp_clean_sheet_rate_last5,opp_form_points_last5,opp_xG_season_avg,opp_xGA_season_avg,current_gw_fdr,fdr_is_proxy,fixture_trajectory_score,trajectory_is_full,home_advantage,transfers_in,transfers_out,selected,value,saves,saves_per_game_season,prev_saves_per_game,prev_cs_rate
Kasper Schmeichel,2019-20,4,Leicester,Bournemouth,True,GK,2,90,0,0,0,1,0,9,0,0,3.6666666666666665,3.6666666666666665,11.0,3.6666666666666665,0.0,0.0,0.3333333333333333,1.0,22.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.732193,0.8978523333333334,0.125,1.0,0.407443774163721,0.6666666666666666,0.6666666666666666,0.3333333333333333,3.0,0.732193,0.8978523333333334,1.6207366666666667,2.125963333333333,0.375,0.5,0.1193179699070592,1.3333333333333333,1.6666666666666667,0.0,4.0,1.6207366666666667,2.125963333333333,2,1,2.0,0,1,34190,23889,433234,5.0,1,2.6666666666666665,0.0,0.0
Kasper Schmeichel,2019-20,5,Leicester,Man Utd,False,GK,3,90,0,0,0,1,0,19,0,0,2.333333333333333,3.25,13.0,3.25,0.0,0.0,0.25,1.0,26.0,0,0.0,0.0,0.0,0,0.0,0.0,0,1.10855975,0.8120707500000001,0.3636363636363636,0.625,0.4439378295012373,1.25,1.25,0.25,4.0,1.10855975,0.8120707500000001,1.9142275,0.7123262499999999,0.4545454545454545,0.75,0.4905018393670296,1.5,1.0,0.25,5.0,1.9142275,0.7123262499999999,4,1,4.0,0,0,15655,28996,427766,5.0,4,2.25,0.0,0.0
Kasper Schmeichel,2019-20,6,Leicester,Spurs,True,GK,3,90,0,0,0,1,0,16,0,0,2.333333333333333,3.2,16.0,3.2,0.0,0.0,0.2,1.0,32.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.978676,0.8696946000000001,0.25,0.75,0.4190795165903977,1.0,1.2,0.2,4.0,0.978676,0.8696946000000001,1.3822024000000002,1.3714103999999998,0.6666666666666667,0.75,0.253748819716628,2.0,1.2,0.2,8.0,1.3822024000000002,1.3714103999999998,2,1,2.0,0,1,10420,16183,428074,5.0,3,2.6,0.0,0.0
Kasper Schmeichel,2019-20,7,Leicester,Newcastle,True,GK,6,90,0,0,1,0,0,19,0,0,2.6666666666666665,2.6,19.0,3.1666666666666665,0.0,0.0,0.1666666666666666,1.0,38.0,0,0.0,0.0,0.0,0,0.0,0.0,0,1.1274282,0.9745748,0.3124999999999999,0.6153846153846154,0.3773527698539785,1.4,1.4,0.0,6.0,1.03015,0.9476371666666666,0.7730324000000001,1.722104,0.125,0.3076923076923076,0.1786897888049069,0.8,2.2,0.0,1.0,0.7076188333333334,1.623935,2,1,2.0,0,1,33314,14544,457624,5.0,0,2.6666666666666665,0.0,0.0
Kasper Schmeichel,2019-20,8,Leicester,Liverpool,False,GK,3,90,0,0,0,2,0,23,0,0,4.0,3.2,25.0,3.571428571428572,0.0,0.0,0.2857142857142857,1.0,50.0,0,0.0,0.0,0.0,0,0.0,0.0,0,1.302716,0.7401436,0.5000000000000001,0.7692307692307693,0.4770454068818036,2.0,1.2,0.2,8.0,1.1436114285714285,0.8199938571428572,1.984482,0.859487,0.5555555555555556,1.0,0.4233792201570716,2.2,0.6,0.4,15.0,1.9538842857142853,1.0400445714285715,4,1,4.0,0,0,37392,18750,478331,5.0,6,2.2857142857142856,0.0,0.0
Kasper Schmeichel,2019-20,9,Leicester,Burnley,True,GK,3,90,0,0,0,1,0,16,0,0,4.0,3.4,28.0,3.5,0.0,0.0,0.25,1.0,54.90196078431372,0,0.0,0.0,0.0,0,0.0,0.0,0,1.18138234,1.3590140000000002,0.6,0.6000000000000001,0.2569139692829377,2.0,1.4,0.2,7.0,1.0129363375,1.186078375,1.1160532,1.1817888,0.3333333333333333,0.7,0.306729569716608,1.2,1.2,0.4,8.0,1.138605875,1.18609925,2,1,2.0,0,1,106899,12160,586160,5.1,3,2.75,0.0,0.0
Kasper Schmeichel,2019-20,10,Leicester,Southampton,False,GK,7,90,0,0,1,0,0,27,0,0,4.0,3.6,31.0,3.4444444444444446,0.0,0.0,0.2222222222222222,1.0,60.78431372549019,0,0.0,0.0,0.0,0,0.0,0.0,0,0.8996703399999999,1.6072068000000002,0.5714285714285715,0.7272727272727273,0.2004467206435017,1.8,1.0,0.2,9.0,0.9925100777777778,1.253813,1.5133500000000002,1.481531,0.2857142857142857,0.2727272727272727,0.2272894417337308,1.0,2.0,0.2,4.0,1.5158117777777778,1.4153763333333331,4,1,4.0,0,0,25205,11571,599421,5.1,3,2.7777777777777777,0.0,0.0
Kasper Schmeichel,2019-20,11,Leicester,Crystal Palace,False,GK,8,90,0,0,1,0,1,27,0,0,4.333333333333333,4.4,38.0,3.8,0.0,0.0,0.3,1.0,74.50980392156863,0,0.0,0.0,0.0,0,0.0,0.0,0,1.6839341400000003,1.4786356,1.0,0.8823529411764706,0.2279484892259628,3.6,0.8,0.4,12.0,1.33130507,1.1741651000000002,1.4507461999999998,1.8529598,0.2352941176470588,0.7647058823529411,0.1567724638012694,1.0,1.2,0.2,7.0,1.1035489,1.5925769,4,1,4.0,0,0,50606,14870,643294,5.1,3,2.8,0.0,0.0
Kasper Schmeichel,2019-20,12,Leicester,Arsenal,True,GK,6,90,0,0,1,0,0,22,0,0,6.0,5.4,46.0,4.181818181818182,0.0,0.0,0.3636363636363636,1.0,90.19607843137254,0,0.0,0.0,0.0,0,0.0,0.0,0,1.62266354,1.2997476,1.0,0.9375,0.2726005887402272,3.6,0.6,0.6,12.0,1.2994743363636363,1.1076873636363638,1.292095,1.2004818,0.2352941176470588,0.8125,0.3010491314935821,1.0,1.0,0.2,6.0,1.3824406363636363,1.5514163636363636,2,1,2.0,0,1,67671,13005,702800,5.1,1,2.8181818181818183,0.0,0.0
Kasper Schmeichel,2019-20,13,Leicester,Brighton,False,GK,6,90,0,0,1,0,0,19,0,0,7.0,5.4,52.0,4.333333333333333,0.0,0.0,0.4166666666666667,1.0,100.0,0,0.0,0.0,0.0,0,0.0,0.0,0,1.53189754,1.4811886,1.0,0.9375,0.2273672789635537,3.2,0.6,0.6,12.0,1.3053973083333332,1.0954916666666668,1.772792,1.7201452,0.5333333333333333,0.6875,0.1790401493943545,1.8,1.4,0.4,7.0,1.4583720833333331,1.6974659999999997,4,1,4.0,0,0,156345,22856,851169,5.2,0,2.6666666666666665,0.0,0.0
Kasper Schmeichel,2019-20,14,Leicester,Everton,True,GK,2,90,0,0,0,1,0,13,0,0,6.666666666666667,6.0,58.0,4.461538461538462,0.0,0.0,0.4615384615384615,1.0,111.53846153846152,0,0.0,0.0,0.0,0,0.0,0.0,0,2.2140894,0.8883958,1.0,1.0,0.4113150553961708,3.4,0.2,0.8,15.0,1.4749182846153843,1.071585076923077,1.4674626,0.8812132,0.0666666666666666,0.6000000000000001,0.4142800021797172,0.6,1.4,0.2,6.0,1.428655076923077,1.1460488461538465,2,1,2.0,0,1,66352,17821,904277,5.2,2,2.4615384615384617,0.0,0.0
Kasper Schmeichel,2019-20,15,Leicester,Watford,True,GK,6,90,0,0,1,0,0,21,0,0,4.666666666666667,5.8,60.0,4.285714285714286,0.0,0.0,0.4285714285714285,1.0,113.20754716981132,0,0.0,0.0,0.0,0,0.0,0.0,0,2.4969654,0.7792298000000001,1.0,1.0,0.45875921161511,3.2,0.2,0.8,13.0,1.52981555,1.084319,0.9831724000000002,1.6667212,0.0769230769230769,0.6000000000000001,0.1888653031021957,0.8,1.4,0.4,4.0,1.1922816428571428,1.7547604285714284,2,1,2.0,0,1,82466,11055,982463,5.3,1,2.4285714285714284,0.0,0.0
Kasper Schmeichel,2019-20,16,Leicester,Aston Villa,False,GK,2,90,0,0,0,1,0,9,0,0,4.666666666666667,5.6,66.0,4.4,0.0,0.0,0.4666666666666667,1.0,124.52830188679243,0,0.0,0.0,0.0,0,0.0,0.0,0,2.0783434,0.7277096000000001,0.5454545454545456,1.0,0.4830140194376379,1.8,0.2,0.8,13.0,1.5803178466666663,1.0253466,1.214242,1.802086,0.3636363636363636,0.2999999999999999,0.1649544341312772,1.4,1.6,0.2,4.0,1.4120697333333332,1.7985506,4,1,4.0,0,0,71714,11589,1051045,5.3,1,2.333333333333333,0.0,0.0
Kasper Schmeichel,2019-20,17,Leicester,Norwich,True,GK,2,90,0,0,0,1,0,12,0,0,3.333333333333333,4.4,68.0,4.25,0.0,0.0,0.4375,1.0,125.92592592592592,0,0.0,0.0,0.0,0,0.0,0.0,0,2.688682,0.8874096,0.6923076923076924,1.0,0.4117208943901175,2.2,0.4,0.6,13.0,1.73360173125,1.0388505625,0.9445156,1.3699304,0.2307692307692307,0.3333333333333333,0.2541246460126669,1.0,1.6,0.2,4.0,1.0475460625,2.0105653125000003,2,1,2.0,0,1,65592,23535,1104856,5.4,2,2.25,0.0,0.0
Kasper Schmeichel,2019-20,18,Leicester,Man City,False,GK,5,90,0,0,0,3,1,30,0,0,3.333333333333333,3.6,70.0,4.117647058823529,0.0,0.0,0.4117647058823529,1.0,129.62962962962962,0,0.0,0.0,0.0,0,0.0,0.0,0,2.627414,0.9279578,0.6153846153846155,1.0,0.39536029127836,1.8,0.6,0.4,10.0,1.6942257470588236,1.0462170000000002,2.001406,0.6861468000000001,0.7692307692307694,0.625,0.503512470250066,2.2,1.2,0.2,10.0,2.7990370588235294,0.9950392352941176,4,1,4.0,0,0,15654,53861,1045344,5.4,9,2.235294117647059,0.0,0.0
