player_id,gameweek,total_points,minutes,goals_scored,assists,clean_sheets,saves,bonus,value,was_home,transfers_in,transfers_out,opponent_team_id
399,1,0,0,0,0,0,0,0,4.5,1,0,0,20
391,1,0,45,0,0,0,0,0,5.0,1,0,0,20
456,1,0,0,0,0,0,0,0,4.5,0,0,0,1
108,1,7,90,1,0,0,0,0,6.5,1,0,0,18
16,1,0,0,0,0,0,0,0,5.0,1,0,0,16
304,1,1,90,0,0,0,0,0,6.0,0,0,0,7
618,1,0,0,0,0,0,0,0,4.5,0,0,0,15
58,1,1,45,0,0,0,0,0,6.0,0,0,0,15
446,1,0,0,0,0,0,0,0,5.0,0,0,0,1
89,1,2,90,0,0,0,0,0,4.5,1,0,0,19
646,1,0,0,0,0,0,0,0,4.0,1,0,0,16
127,1,0,0,0,0,0,0,0,4.5,1,0,0,12
385,1,0,0,0,0,0,0,0,4.5,1,0,0,20
177,1,0,0,0,0,0,0,0,5.5,1,0,0,13
83,1,1,59,0,0,0,0,0,4.5,1,0,0,19
30,1,0,0,0,0,0,0,0,6.0,1,0,0,16
596,1,2,90,0,0,0,5,0,4.5,1,0,0,13
407,1,2,90,0,0,0,0,0,4.5,1,0,0,2
525,1,2,90,0,0,0,0,0,6.0,0,0,0,3
434,1,0,0,0,0,0,0,0,4.5,0,0,0,1
650,1,0,0,0,0,0,0,0,4.5,1,0,0,10
336,1,0,0,0,0,0,0,0,4.5,0,0,0,5
408,1,0,0,0,0,0,0,0,4.0,1,0,0,2
220,1,9,90,0,0,1,0,3,4.5,0,0,0,17
319,1,0,0,0,0,0,0,0,5.0,0,0,0,5
325,1,0,0,0,0,0,0,0,4.5,0,0,0,5
567,1,1,90,0,0,0,0,0,5.5,0,0,0,14
625,1,0,0,0,0,0,0,0,4.0,0,0,0,9
640,1,0,0,0,0,0,0,0,4.5,0,0,0,4
42,1,-1,90,0,0,0,0,0,4.5,0,0,0,15
199,1,1,90,0,0,0,0,0,5.0,1,0,0,11
428,1,0,0,0,0,0,0,0,4.5,1,0,0,2
253,1,0,0,0,0,0,0,0,5.5,1,0,0,10
361,1,0,0,0,0,0,0,0,4.0,0,0,0,6
230,1,6,90,0,0,1,1,0,4.5,0,0,0,17
35,1,0,0,0,0,0,0,0,6.0,0,0,0,15
32,1,0,0,0,0,0,0,0,5.0,0,0,0,15
518,1,0,0,0,0,0,0,0,4.0,0,0,0,4
52,1,2,90,0,0,0,0,0,4.5,0,0,0,5
96,1,1,90,0,0,0,0,0,4.5,1,0,0,18
26,1,1,17,0,0,0,0,0,7.0,1,0,0,16
372,1,3,76,0,0,1,0,0,7.0,1,0,0,20
194,1,0,0,0,0,0,0,0,4.5,1,0,0,11
550,1,0,0,0,0,0,0,0,4.5,0,0,0,14
533,1,0,0,0,0,0,0,0,4.5,0,0,0,3
633,1,0,0,0,0,0,0,0,4.5,1,0,0,2
357,1,1,11,0,0,0,0,0,5.0,0,0,0,6
430,1,2,90,0,0,0,0,0,6.5,1,0,0,2
509,1,2,90,0,0,0,0,0,7.0,0,0,0,4
324,1,0,0,0,0,0,0,0,4.5,0,0,0,5
476,1,0,0,0,0,0,0,0,4.5,1,0,0,8
148,1,2,90,0,0,0,2,0,4.5,1,0,0,12
424,1,3,90,0,0,0,5,0,5.5,1,0,0,2
6,1,2,90,0,0,0,0,0,7.5,1,0,0,16
61,1,0,0,0,0,0,0,0,5.0,0,0,0,15
528,1,2,90,0,0,0,0,0,4.5,0,0,0,3
396,1,3,87,0,0,1,0,0,9.0,1,0,0,20
458,1,0,0,0,0,0,0,0,5.0,0,0,0,1
132,1,5,12,1,0,0,0,0,6.0,1,0,0,12
141,1,0,0,0,0,0,0,0,4.0,1,0,0,12
493,1,2,90,0,0,0,0,0,5.0,0,0,0,4
559,1,2,87,0,0,0,0,0,5.0,0,0,0,14
249,1,2,90,0,0,0,0,0,5.5,1,0,0,10
352,1,6,90,0,0,1,1,0,5.5,0,0,0,6
313,1,2,90,0,0,0,0,0,6.0,0,0,0,7
439,1,1,90,0,0,0,0,0,4.5,0,0,0,1
392,1,1,2,0,0,0,0,0,5.0,1,0,0,20
358,1,6,78,0,0,1,0,0,4.5,0,0,0,6
382,1,3,67,0,0,1,0,0,5.0,1,0,0,20
251,1,0,0,0,0,0,0,0,4.5,1,0,0,10
624,1,1,7,0,0,0,0,0,4.5,1,0,0,10
359,1,0,0,0,0,0,0,0,7.5,0,0,0,6
571,1,0,0,0,0,0,0,0,4.0,0,0,0,14
27,1,0,0,0,0,0,0,0,4.0,1,0,0,8
412,1,4,67,0,1,0,0,0,5.5,1,0,0,2
443,1,0,0,0,0,0,0,0,5.0,0,0,0,1
222,1,0,0,0,0,0,0,0,4.5,0,0,0,17
310,1,0,0,0,0,0,0,0,5.0,0,0,0,7
553,1,0,90,0,0,0,0,0,4.5,0,0,0,5
327,1,0,0,0,0,0,0,0,4.5,0,0,0,5
642,1,0,0,0,0,0,0,0,5.0,0,0,0,3
10,1,0,0,0,0,0,0,0,4.5,1,0,0,16
70,1,0,0,0,0,0,0,0,4.5,1,0,0,19
260,1,0,0,0,0,0,0,0,4.5,1,0,0,10
648,1,0,0,0,0,0,0,0,4.0,0,0,0,5
497,1,8,90,1,0,0,0,1,4.5,0,0,0,4
151,1,1,11,0,0,0,0,0,4.5,1,0,0,12
402,1,2,85,0,0,0,0,0,6.5,1,0,0,2
179,1,0,0,0,0,0,0,0,4.0,1,0,0,13
102,1,0,0,0,0,0,0,0,4.0,1,0,0,18
641,1,0,0,0,0,0,0,0,5.5,0,0,0,4
187,1,0,0,0,0,0,0,0,5.0,1,0,0,11
88,1,0,0,0,0,0,0,0,4.0,1,0,0,19
520,1,1,90,0,0,0,4,0,5.0,0,0,0,4
413,1,0,0,0,0,0,0,0,4.5,1,0,0,2
419,1,0,0,0,0,0,0,0,4.0,1,0,0,2
307,1,2,90,0,0,0,0,0,6.5,0,0,0,7
503,1,0,0,0,0,0,0,0,5.0,0,0,0,4
240,1,3,90,0,0,1,0,0,5.0,0,0,0,17
256,1,2,90,0,0,0,0,0,5.5,1,0,0,10
297,1,2,65,0,0,0,0,0,7.5,0,0,0,7
211,1,1,90,0,0,0,0,0,7.0,1,0,0,11
543,1,0,0,0,0,0,0,0,4.5,0,0,0,3
138,1,0,0,0,0,0,0,0,5.0,1,0,0,12
548,1,1,13,0,0,0,0,0,4.5,0,0,0,14
524,1,3,90,0,0,0,4,0,4.0,0,0,0,3
291,1,3,90,0,0,0,4,0,5.5,0,0,0,7
513,1,1,15,0,0,0,0,0,4.5,0,0,0,4
331,1,0,0,0,0,0,0,0,4.5,0,0,0,5
598,1,0,0,0,0,0,0,0,4.5,0,0,0,14
554,1,0,0,0,0,0,0,0,5.5,0,0,0,14
264,1,0,0,0,0,0,0,0,4.5,1,0,0,10
560,1,0,0,0,0,0,0,0,4.5,0,0,0,14
437,1,7,19,1,0,0,0,2,6.5,0,0,0,1
114,1,1,18,0,0,0,0,0,4.5,1,0,0,18
610,1,0,0,0,0,0,0,0,4.5,0,0,0,9
311,1,0,0,0,0,0,0,0,4.5,0,0,0,7
128,1,3,73,0,0,1,0,0,5.0,1,0,0,12
609,1,1,9,0,0,0,0,0,5.5,1,0,0,11
484,1,2,79,0,0,0,0,0,4.5,1,0,0,8
243,1,0,0,0,0,0,0,0,4.0,0,0,0,17
649,1,0,0,0,0,0,0,0,4.5,1,0,0,10
383,1,0,0,0,0,0,0,0,4.5,1,0,0,20
47,1,2,90,0,0,0,0,0,5.0,0,0,0,15
186,1,0,0,0,0,0,0,0,4.5,1,0,0,11
580,1,0,0,0,0,0,0,0,4.0,1,0,0,2
152,1,0,0,0,0,0,0,0,4.5,1,0,0,12
586,1,2,87,0,0,0,0,0,5.0,0,0,0,5
56,1,0,0,0,0,0,0,0,4.5,0,0,0,15
275,1,12,90,0,0,1,9,3,4.5,0,0,0,9
99,1,0,0,0,0,0,0,0,5.0,1,0,0,18
440,1,0,0,0,0,0,0,0,4.5,0,0,0,1
31,1,0,0,0,0,0,0,0,5.0,1,0,0,16
272,1,0,0,0,0,0,0,0,4.5,0,0,0,9
433,1,5,22,1,0,0,0,0,8.0,1,0,0,2
426,1,0,0,0,0,0,0,0,6.0,1,0,0,2
594,1,2,60,0,0,0,0,0,5.5,1,0,0,13
