Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag
263,Jonathan Obika,eng ENG,FW,Motherwell,31,1990,9,5,499,5.5,1,0,1,1,0,0,3,0,0.18,0.00,0.18,0.18,0.18,Matches,Scottish Premiership,2022-23
264,Ayo Obileye,eng ENG,DF,Livingston,27,1994,25,22,1976,22.0,1,0,1,1,0,0,1,0,0.05,0.00,0.05,0.05,0.05,Matches,Scottish Premiership,2022-23
265,Yutaro Oda,jp JPN,"MF,FW",Hearts,20,2001,12,7,541,6.0,1,0,1,1,0,0,0,0,0.17,0.00,0.17,0.17,0.17,Matches,Scottish Premiership,2022-23
266,Kieran Offord,sct SCO,MF,St Mirren,18,2004,9,0,137,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
267,Kazeem Olaigbe,be BEL,"MF,FW",Ross County,19,2003,19,7,735,8.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
268,Toyosi Olusanya,eng ENG,"FW,MF",St Mirren,24,1997,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
269,Stephane Omeonga,be BEL,MF,Livingston,26,1996,30,18,1815,20.2,0,0,0,0,0,0,9,1,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
270,Elliot Parish,eng ENG,GK,St Johnstone,32,1990,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
271,Tom Parkes,eng ENG,DF,Livingston,30,1992,4,2,203,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
272,Ben Paton,ca CAN,MF,Ross County,21,2000,7,3,227,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
273,Harry Paton,ca CAN,MF,Motherwell,24,1998,7,2,246,2.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
274,Peter Pawlett,sct SCO,"MF,FW",Dundee United,31,1991,12,5,352,3.9,0,1,1,0,0,0,2,0,0.00,0.26,0.26,0.00,0.26,Matches,Scottish Premiership,2022-23
275,Matt Penney,eng ENG,DF,Motherwell,24,1998,16,16,1440,16.0,0,1,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,Matches,Scottish Premiership,2022-23
276,James Penrice,sct SCO,"DF,MF",Livingston,23,1998,29,16,1527,17.0,3,1,4,3,0,0,3,0,0.18,0.06,0.24,0.18,0.24,Matches,Scottish Premiership,2022-23
277,Daniel Phillips,tt TRI,MF,St Johnstone,21,2001,23,16,1393,15.5,0,0,0,0,0,0,9,1,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
