Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag
496,Calvin Verdonk,id IDN,"DF,MF",NEC Nijmegen,24,1997,21,8,965,10.7,1,1,2,1,0,0,2,0,0.09,0.09,0.19,0.09,0.19,Matches,Eredivisie,2021-22
497,Hobie Verhulst,nl NED,GK,AZ Alkmaar,28,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
498,Thibaud Verlinden,be BEL,"FW,MF",Fortuna Sittard,22,1999,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
499,Michael Verrips,nl NED,GK,Fortuna Sittard,24,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
500,Arno Verschueren,be BEL,MF,Sparta Rotterdam,24,1997,12,12,963,10.7,2,1,3,2,0,0,1,1,0.19,0.09,0.28,0.19,0.28,Matches,Eredivisie,2021-22
501,Yorbe Vertessen,be BEL,"FW,MF",PSV,20,2001,24,5,797,8.9,6,3,9,6,0,0,0,0,0.68,0.34,1.02,0.68,1.02,Matches,Eredivisie,2021-22
502,Javier Vet,nl NED,MF,NEC Nijmegen,27,1993,27,1,560,6.2,2,1,3,2,0,0,2,0,0.32,0.16,0.48,0.32,0.48,Matches,Eredivisie,2021-22
503,Nick Viergever,nl NED,DF,PSV,31,1989,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
504,Peter Vindahl Jensen,dk DEN,GK,AZ Alkmaar,23,1998,32,32,2880,32.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
505,Carlos Vinícius,br BRA,FW,PSV,26,1995,23,10,1105,12.3,6,6,12,6,0,0,5,0,0.49,0.49,0.98,0.49,0.98,Matches,Eredivisie,2021-22
