player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Borevkovic Toni,hrCRO,2.0,Vitória Guimarães,27,1997,26.9,,16,,,,,,,,,,,33,,,,Matches
Borges Daniel,brBRA,3.0,Santa Clara,21,2003,2.2,,6,,,,,,,,,,,6,,,,Matches
Borges Gonçalo,ptPOR,3.4,Porto,23,2001,8.5,,6,,,,,,,,,,,2,,,,Matches
Boženík Róbert,skSVK,4.0,Boavista,24,1999,30.6,,9,,,,,,,,,,,10,,,,Matches
Bragança Daniel,ptPOR,3.0,Sporting CP,25,1999,12.0,,14,,,,,,,,,,,5,,,,Matches
Brigido Bruno,brBRA,1.0,Estrela,33,1991,17.5,,0,,,,,,,,,,,0,,,,Matches
Brito Alexandre,ptPOR,3.0,Sporting CP,19,2005,1.0,,3,,,,,,,,,,,1,,,,Matches
Brito Rafael,ptPOR,3.0,Casa Pia,22,2002,11.2,,15,,,,,,,,,,,19,,,,Matches
Brito Tiago,ptPOR,2.0,Estoril,20,2004,1.1,,2,,,,,,,,,,,0,,,,Matches
Bruma,ptPOR,3.4,Braga,29,1994,13.4,,7,,,,,,,,,,,2,,,,Matches
Bruma,ptPOR,3.5,Benfica,29,1994,5.4,,5,,,,,,,,,,,0,,,,Matches
Buatu Mananga Jonathan,aoANG,2.0,Gil Vicente FC,30,1993,20.3,,19,,,,,,,,,,,17,,,,Matches
Bucca Leonel,arARG,3.4,Estrela,25,1999,15.0,,17,,,,,,,,,,,12,,,,Matches
Buta Leonardo,ptPOR,2.0,Moreirense,22,2002,5.6,,3,,,,,,,,,,,4,,,,Matches
Butzke Adrián,esESP,4.0,Nacional,25,1999,5.4,,2,,,,,,,,,,,2,,,,Matches
Cabral Arthur,brBRA,4.0,Benfica,26,1998,4.2,,2,,,,,,,,,,,0,,,,Matches
Cabral Daniel,brBRA,3.0,Estrela,22,2002,0.0,,0,,,,,,,,,,,0,,,,Matches
Cabral Jovane,cvCPV,3.5,Estrela,26,1998,12.8,,22,,,,,,,,,,,9,,,,Matches
Calegari Lucas,brBRA,2.0,Famalicão,22,2002,16.5,,20,,,,,,,,,,,12,,,,Matches
Calila Diogo,mzMOZ,2.4,Santa Clara,25,1998,19.4,,25,,,,,,,,,,,11,,,,Matches
Camará Ibrahima,gnGUI,2.4,Boavista,25,1999,14.8,,10,,,,,,,,,,,18,,,,Matches
Candeias André,ptPOR,4.0,Farense,21,2003,0.4,,0,,,,,,,,,,,0,,,,Matches
Carević Lazar,meMNE,1.0,Famalicão,25,1999,18.0,,0,,,,,,,,,,,0,,,,Matches
Carlos Zé,ptPOR,2.0,Vitória Guimarães,22,2001,1.4,,4,,,,,,,,,,,3,,,,Matches
Carlos Zé,ptPOR,3.0,Farense,22,2001,7.4,,16,,,,,,,,,,,9,,,,Matches
Carlos Zé,ptPOR,2.0,Gil Vicente FC,26,1998,30.1,,43,,,,,,,,,,,47,,,,Matches
Carreras Álvaro,esESP,2.0,Benfica,21,2003,30.5,,38,,,,,,,,,,,38,,,,Matches
Carvalho João,ptPOR,3.5,Estoril,27,1997,25.6,,22,,,,,,,,,,,10,,,,Matches
Carvalho Pedro,ptPOR,2.4,Estoril,21,2003,8.5,,12,,,,,,,,,,,10,,,,Matches
Carvalho Vitor,brBRA,3.0,Braga,27,1997,16.7,,20,,,,,,,,,,,22,,,,Matches
Cáseres Facundo,arARG,3.0,Gil Vicente FC,23,2001,15.6,,28,,,,,,,,,,,15,,,,Matches
Cassiano,brBRA,4.0,Casa Pia,35,1989,22.0,,13,,,,,,,,,,,3,,,,Matches
Castillo Jesús,pePER,3.0,Gil Vicente FC,23,2001,9.1,,6,,,,,,,,,,,8,,,,Matches
Castro André,ptPOR,3.0,Moreirense,36,1988,0.2,,0,,,,,,,,,,,0,,,,Matches
Castro Cristian,coCOL,2.0,AVS Futebol,23,2001,30.5,,29,,,,,,,,,,,38,,,,Matches
Catamo Geny,mzMOZ,3.0,Sporting CP,23,2001,21.2,,15,,,,,,,,,,,9,,,,Matches
Cauê,brBRA,4.0,Gil Vicente FC,21,2002,7.4,,1,,,,,,,,,,,2,,,,Matches
Cauê,brBRA,4.0,Casa Pia,21,2002,3.9,,0,,,,,,,,,,,2,,,,Matches
César,brBRA,1.0,Boavista,32,1992,16.0,,2,,,,,,,,,,,0,,,,Matches
César Kaio,brBRA,3.4,Vitória Guimarães,20,2004,14.4,,16,,,,,,,,,,,7,,,,Matches
Chabrol Tidjany,frFRA,3.4,Gil Vicente FC,22,2002,11.6,,15,,,,,,,,,,,7,,,,Matches
Chamorro Kevin,crCRC,1.0,Estoril,24,2000,4.0,,0,,,,,,,,,,,0,,,,Matches
Chissumba Francisco,ptPOR,2.0,Braga,19,2005,15.9,,18,,,,,,,,,,,16,,,,Matches
Cissokho Till,frFRA,2.0,Estrela,24,2000,4.0,,0,,,,,,,,,,,2,,,,Matches
Clayton,brBRA,2.0,AVS Futebol,24,2000,2.0,,0,,,,,,,,,,,1,,,,Matches
Clayton,brBRA,4.0,Rio Ave,25,1999,30.1,,8,,,,,,,,,,,5,,,,Matches
