player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Goulart Silva João,ptPOR,2.0,Casa Pia,24,2000,31.5,4,0,0,35,18,1,0,38,23,,,1,Matches
Gouveia Tiago,ptPOR,3.0,Benfica,23,2001,1.1,1,0,0,2,0,0,10,0,3,,,0,Matches
Gozalbez Pablo,esESP,3.0,Arouca,23,2001,7.2,1,0,0,20,10,3,21,3,6,,,0,Matches
Graça João,ptPOR,3.4,Rio Ave,29,1995,5.5,1,0,0,13,10,1,7,2,8,,,0,Matches
Granada Samuel,brBRA,4.0,AVS Futebol,24,2000,2.7,2,1,1,4,5,0,3,0,1,,,0,Matches
Grau Jaume,esESP,3.0,AVS Futebol,27,1997,23.5,13,0,0,45,24,1,33,35,42,,,0,Matches
Grujić Marko,rsSRB,3.0,Porto,28,1996,0.4,0,0,0,0,0,0,1,0,0,,,0,Matches
Gudžulić Marko,rsSRB,1.0,Estrela,22,2002,2.0,1,0,0,0,1,0,0,0,0,,,0,Matches
Guitane Rafik,frFRA,3.5,Estoril,25,1999,9.5,0,0,0,6,25,4,16,2,7,,,0,Matches
Guitane Rafik,frFRA,3.5,Braga,25,1999,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Gül Deniz,trTUR,4.0,Porto,20,2004,4.9,0,0,0,7,5,5,0,0,0,,,0,Matches
Gyökeres Viktor,seSWE,4.0,Sporting CP,26,1998,31.2,4,0,0,24,77,9,24,5,6,,,0,Matches
Haas Justin,nlNED,2.0,Famalicão,24,2000,27.4,5,0,0,32,15,2,1,50,23,,,0,Matches
Habraão,brBRA,2.0,Santa Clara,23,2001,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Händel Tomás,ptPOR,3.0,Vitória Guimarães,23,2000,28.0,5,0,0,26,30,1,27,36,25,,,0,Matches
Harder Conrad,dkDEN,3.5,Sporting CP,19,2005,8.7,0,0,0,21,21,4,24,4,6,,,0,Matches
Helguera Thiago,uyURU,3.0,Braga,18,2006,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Henrique Gustavo,brBRA,3.0,Estrela,25,1999,2.5,0,0,0,2,9,2,2,2,4,,,0,Matches
Hjulmand Morten,dkDEN,3.0,Sporting CP,25,1999,24.6,11,1,1,31,50,1,10,26,36,,,0,Matches
Holsgrove Jordan,sctSCO,3.0,Estoril,24,1999,26.5,6,0,0,35,46,0,102,34,22,,,0,Matches
Horníček Lukáš,czCZE,1.0,Braga,22,2002,17.0,0,0,0,0,2,0,0,0,0,,,0,Matches
Horta André,ptPOR,3.0,Braga,27,1996,5.6,0,0,0,7,6,0,28,5,9,,,0,Matches
Horta Ricardo,ptPOR,3.4,Braga,29,1994,31.5,2,0,0,25,33,4,110,6,23,,,0,Matches
