player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Baquerin Adrian,esESP,4.0,Valladolid,17,2007,0.5,0,0,0,0,2,0,0,0,1,,,0,Matches
Barco Valentín,arARG,2.0,Sevilla,20,2004,3.2,0,0,0,7,5,0,25,2,9,,,0,Matches
Barišić Borna,hrCRO,2.0,Leganés,31,1992,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Barja Kike,esESP,3.5,Osasuna,27,1997,3.5,3,0,0,9,4,1,37,3,4,,,0,Matches
Barrenechea Enzo,arARG,3.0,Valencia,23,2001,24.3,6,0,0,25,47,0,3,27,30,,,0,Matches
Barrenetxea Ander,esESP,3.0,Real Sociedad,22,2001,14.0,6,0,0,33,13,6,52,11,19,,,0,Matches
Barrios Pablo,esESP,3.0,Atlético Madrid,21,2003,25.9,4,1,0,28,27,0,26,33,26,,,0,Matches
Barry Thierno,frFRA,4.0,Villarreal,21,2002,25.8,4,0,0,47,51,20,5,0,9,,,0,Matches
Bartra Marc,esESP,2.0,Real Betis,33,1991,23.3,2,0,0,15,14,2,1,35,19,,,0,Matches
Bassinga Aboubacar,ciCIV,3.0,Las Palmas,19,2005,0.0,0,0,0,1,0,0,0,0,0,,,0,Matches
Batalla Augusto,arARG,1.0,Rayo Vallecano,28,1996,32.0,6,0,0,1,6,0,0,0,3,,,0,Matches
Bauza Rafael,esESP,3.0,Espanyol,19,2005,2.0,1,0,0,8,0,0,0,0,3,,,0,Matches
Becker Sheraldo,srSUR,3.4,Real Sociedad,29,1995,11.1,1,1,0,8,15,9,65,2,2,,,0,Matches
Beek Donny van,nlNED,3.0,Girona,27,1997,15.8,5,0,0,22,8,3,11,11,19,,,0,Matches
Beitia Luken,esESP,2.0,Real Sociedad,20,2004,0.1,0,0,0,0,0,0,0,0,1,,,0,Matches
Bekhoucha Ismael,maMAR,2.0,Getafe,19,2004,0.8,2,0,0,3,3,0,1,2,1,,,0,Matches
Bellerín Héctor,esESP,2.0,Real Betis,29,1995,6.4,1,0,0,6,0,0,10,6,7,,,0,Matches
Bellingham Jude,engENG,3.0,Real Madrid,21,2003,27.6,5,1,0,33,64,9,18,27,35,,,0,Matches
Beltrán Fran,esESP,3.0,Celta Vigo,25,1999,26.9,3,0,0,35,12,0,5,22,36,,,0,Matches
Benavídez Carlos,uyURU,3.0,Alavés,26,1998,5.4,3,0,0,17,6,1,1,7,15,,,0,Matches
Benito Iker,esESP,3.5,Osasuna,21,2002,0.4,0,0,0,1,1,0,2,1,0,,,0,Matches
Berchiche Yuri,esESP,2.0,Athletic Club,34,1990,22.7,5,0,0,18,19,4,42,28,22,,,0,Matches
Berenguer Álex,esESP,3.4,Athletic Club,29,1995,26.0,5,0,0,29,30,5,178,10,13,,,0,Matches
Bernal Marc,esESP,3.0,Barcelona,17,2007,2.7,2,0,0,4,3,0,0,1,6,,,0,Matches
Bernat Juan,esESP,2.0,Villarreal,31,1993,2.4,0,0,0,0,2,1,8,1,7,,,0,Matches
Bernat Juan,esESP,3.0,Getafe,31,1993,7.8,0,0,0,11,6,1,12,2,12,,,0,Matches
Berrocal Juan,esESP,2.0,Getafe,25,1999,11.8,8,1,1,17,1,0,0,15,6,,,0,Matches
Blanco Antonio,esESP,3.0,Alavés,24,2000,30.3,11,1,1,67,27,0,27,41,41,,,0,Matches
Blind Daley,nlNED,2.0,Girona,34,1990,30.9,2,0,0,19,16,1,42,33,28,,,0,Matches
Boiro Adama,esESP,2.0,Athletic Club,22,2002,12.2,3,0,0,13,8,1,31,11,11,,,0,Matches
Boyomo Enzo,cmCMR,2.0,Osasuna,22,2001,33.2,5,0,0,43,8,0,2,41,44,,,0,Matches
Boyomo Enzo,cmCMR,2.0,Valladolid,22,2001,3.0,0,0,0,3,0,0,0,2,2,,,0,Matches
Brašanac Darko,rsSRB,3.0,Leganés,32,1992,18.0,4,0,0,38,13,4,11,17,14,,,0,Matches
