player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Goudmijn Kenzo,nlNED,3.0,Excelsior,20,2001,31.2,2,0,0,20,46,2,39,15,38,,,0,Matches
Grillitsch Florian,atAUT,3.0,Ajax,26,1995,4.7,2,0,0,4,7,0,2,11,6,,,0,Matches
Güçlü Metehan,trTUR,4.0,Emmen,23,1999,0.1,0,0,0,0,1,0,0,0,0,,,0,Matches
Guth Rodrigo,brBRA,2.0,Fortuna Sittard,21,2000,33.4,3,0,0,31,6,1,5,42,31,,,0,Matches
Gutiérrez Erick,mxMEX,3.0,PSV,27,1995,16.2,4,0,0,27,14,1,4,22,32,,,0,Matches
Guzmán Jonathan,nlNED,3.0,Sparta Rotterdam,34,1987,15.5,4,0,0,26,12,0,10,16,11,,,0,Matches
Hájek Tomáš,czCZE,2.0,Vitesse,30,1991,1.9,1,0,0,2,2,0,0,3,3,,,0,Matches
Hajj Rami,seSWE,3.4,Heerenveen,20,2001,7.6,0,0,0,4,10,0,12,9,13,,,0,Matches
Halilović Tibor,hrCRO,3.0,Heerenveen,27,1995,7.6,1,1,0,8,4,0,5,9,8,,,0,Matches
Hancko Dávid,skSVK,2.0,Feyenoord,24,1997,30.5,2,0,0,12,19,2,21,34,43,,,0,Matches
Hardeveld Jeff,nlNED,2.0,Emmen,27,1995,3.9,0,0,0,4,1,0,18,11,13,,,0,Matches
Hartman Quilindschy,nlNED,2.0,Feyenoord,20,2001,18.5,5,0,0,20,2,0,47,28,18,,,0,Matches
Hato Jorrel,nlNED,2.0,Ajax,16,2006,6.8,1,0,0,3,1,0,3,6,6,,,0,Matches
Hatzidiakos Pantelis,grGRE,2.0,AZ Alkmaar,25,1997,30.9,5,0,0,21,17,0,18,30,27,,,0,Matches
Haye Thom,idIDN,3.0,Heerenveen,27,1995,30.2,7,0,0,28,20,2,189,49,54,,,0,Matches
Hazard Thorgan,beBEL,3.0,PSV,29,1993,2.7,1,0,0,3,1,0,7,0,4,,,0,Matches
Hendriks Ramon,nlNED,2.0,Utrecht,21,2001,3.3,0,0,0,4,2,0,6,2,3,,,0,Matches
Hendriks Sam,nlNED,4.0,Cambuur,27,1995,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Heylen Michaël,beBEL,2.0,Emmen,28,1994,3.7,1,0,0,5,0,0,2,1,6,,,0,Matches
Hilgers Mees,idIDN,2.0,Twente,21,2001,22.6,4,0,0,24,8,0,4,41,34,,,1,Matches
Hoedemakers Mees,nlNED,3.0,Cambuur,24,1998,24.0,3,2,1,32,11,1,36,38,37,,,0,Matches
Hoesen Danny,nlNED,4.0,Emmen,31,1991,1.2,0,0,0,1,1,1,0,0,0,,,0,Matches
Hoever Ki-Jana,nlNED,2.0,PSV,20,2002,2.3,0,0,0,2,4,0,6,4,6,,,0,Matches
Hoff Melkersen Elias,noNOR,4.0,Sparta Rotterdam,19,2002,0.1,0,0,0,0,0,1,0,0,0,,,0,Matches
Hooijdonk Sydney,nlNED,4.0,Heerenveen,22,2000,28.9,2,0,0,34,35,11,7,1,4,,,0,Matches
Horemans Siebe,beBEL,2.0,Excelsior,24,1998,32.4,4,0,0,26,16,1,72,62,40,,,0,Matches
Houwen Jeroen,nlNED,1.0,Vitesse,26,1996,2.2,0,0,0,0,0,0,0,1,0,,,0,Matches
Hove Johan,noNOR,3.0,Groningen,21,2000,16.3,1,0,0,9,9,1,55,20,16,,,0,Matches
Huisman Daan,nlNED,3.0,Vitesse,20,2002,0.4,0,0,0,0,2,0,0,0,1,,,0,Matches
Idrissi Oussama,maMAR,3.4,Feyenoord,26,1996,15.9,5,0,0,23,12,5,69,3,27,,,0,Matches
Idzes Jay,idIDN,2.3,Go Ahead Eagles,22,2000,31.7,4,0,0,18,14,1,1,43,23,,,0,Matches
Irandust Daleho,sySYR,3.4,Groningen,24,1998,8.3,1,0,0,7,11,0,16,5,10,,,0,Matches
Isimat-Mirin Nicolas,frFRA,2.0,Vitesse,30,1991,12.7,1,0,0,13,5,0,1,6,10,,,0,Matches
Jacobs Jamie,nlNED,3.0,Cambuur,24,1997,16.7,2,1,0,39,14,4,27,14,14,,,0,Matches
