Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Unnamed: 0_level_0_Rk_k,Unnamed: 2_level_0_Nation_k,Unnamed: 3_level_0_Pos_k,Unnamed: 4_level_0_Squad_k,Unnamed: 5_level_0_Age_k,Unnamed: 6_level_0_Born_k,Playing Time_MP_k,Playing Time_Starts_k,Playing Time_Min_k,Playing Time_90s_k,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 26_level_0_Matches,league_tag_k,season_tag_k
144,Sandro Cruz,ao ANG,DF,Benfica,20,2001,2,2,161,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Crysan,br BRA,"MF,FW",Santa Clara,25,1996,21,18,1427,15.9,7,2,9,6,1,1,3,1,0.44,0.13,0.57,0.38,0.50,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Lucas Cunha,br BRA,DF,Gil Vicente FC,24,1997,32,32,2880,32.0,2,1,3,2,0,0,10,0,0.06,0.03,0.09,0.06,0.09,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Sessi D'Almeida,bj BEN,MF,Tondela,25,1995,8,2,218,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Oday Dabbagh,ps PLE,"FW,MF",Arouca,22,1998,23,4,684,7.6,4,1,5,4,0,0,6,1,0.53,0.13,0.66,0.53,0.66,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Julien Dacosta,fr FRA,"DF,MF",Portimonense,25,1996,11,5,400,4.4,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Renat Dadaşov,az AZE,FW,Tondela,22,1999,30,14,1441,16.0,2,2,4,2,0,0,3,0,0.12,0.12,0.25,0.12,0.25,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Dalberson,br BRA,GK,Famalicão,24,1997,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,10,br BRA,GK,Famalicão,24,1997,2,2,180,2.0,3,1.50,4,1,25.0,0,1,1,1,50.0,0,0,0,0,,Matches,Primeira Liga,2021-22
152,Daniel,br BRA,FW,Tondela,25,1996,27,18,1596,17.7,4,0,4,3,1,1,5,0,0.23,0.00,0.23,0.17,0.17,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Tiago Dantas,pt POR,MF,Tondela,20,2000,26,11,1099,12.2,1,2,3,1,0,0,0,0,0.08,0.16,0.25,0.08,0.25,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Or Dasa,il ISR,FW,Arouca,22,1998,4,0,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Hernán De La Fuente,ar ARG,"MF,DF",Famalicão,24,1997,19,8,924,10.3,0,1,1,0,0,0,5,0,0.00,0.10,0.10,0.00,0.10,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Juan Delgado,cl CHI,"DF,FW",Paços de Ferreira,28,1993,31,23,1973,21.9,2,0,2,2,0,0,6,0,0.09,0.00,0.09,0.09,0.09,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Denílson,br BRA,FW,Paços de Ferreira,26,1995,30,20,1813,20.1,6,1,7,4,2,2,4,1,0.30,0.05,0.35,0.20,0.25,Matches,Primeira Liga,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
