Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_Save%
425,Riccardo Pagano,it ITA,MF,Roma,18,2004,4,0,51,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2023-24,1,0,0.0,1.76,0.00,0.00,,,,,,,,,
426,Christos Papadopoulos,gr GRE,MF,Genoa,18,2004,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2023-24,0,0,,0.00,0.00,,,,,,,,,,
427,Leandro Paredes,ar ARG,MF,Roma,29,1994,34,32,2634,29.3,3,5,8,0,3,3,15,1,0.10,0.17,0.27,0.00,0.17,Matches,Serie A,2023-24,32,6,18.8,1.09,0.21,0.00,0.00,,,,,,,,
428,Fabiano Parisi,it ITA,DF,Fiorentina,22,2000,21,16,1454,16.2,0,1,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,Matches,Serie A,2023-24,12,2,16.7,0.74,0.12,0.00,0.00,,,,,,,,
429,Mario Pašalić,hr CRO,MF,Atalanta,28,1995,34,23,2051,22.8,6,6,12,4,2,2,3,0,0.26,0.26,0.53,0.18,0.44,Matches,Serie A,2023-24,40,18,45.0,1.76,0.79,0.10,0.22,,,,,,,,
430,Triantafyllos Pasaridīs,gr GRE,DF,Salernitana,27,1996,8,5,452,5.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2023-24,0,0,,0.00,0.00,,,,,,,,,,
431,Patric,es ESP,DF,Lazio,30,1993,20,19,1608,17.9,2,0,2,2,0,0,4,0,0.11,0.00,0.11,0.11,0.11,Matches,Serie A,2023-24,6,2,33.3,0.34,0.11,0.33,1.00,,,,,,,,
432,Rui Patrício,pt POR,GK,Roma,35,1988,23,23,2070,23.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2023-24,0,0,,0.00,0.00,,,27,1.17,74,49,66.2,6,26.1,0.0
433,Benjamin Pavard,fr FRA,DF,Inter,27,1996,23,21,1672,18.6,0,2,2,0,0,0,6,0,0.00,0.11,0.11,0.00,0.11,Matches,Serie A,2023-24,15,5,33.3,0.81,0.27,0.00,0.00,,,,,,,,
434,Leonardo Pavoletti,it ITA,FW,Cagliari,34,1988,19,5,628,7.0,4,1,5,4,0,0,4,0,0.57,0.14,0.72,0.57,0.72,Matches,Serie A,2023-24,25,9,36.0,3.58,1.29,0.16,0.44,,,,,,,,
