player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Jung Anthony,deGER,2.0,Werder Bremen,32,1991,21.1,,21,,,,,,,,,,,26,,,,Matches
Juranović Josip,hrCRO,2.4,Union Berlin,28,1995,12.9,,13,,,,,,,,,,,6,,,,Matches
Jurásek David,czCZE,2.3,Hoffenheim,23,2000,6.9,,3,,,,,,,,,,,7,,,,Matches
Kabadayı Yusuf,deGER,4.0,Augsburg,20,2004,0.8,,0,,,,,,,,,,,0,,,,Matches
Kabar Almugera,deGER,2.0,Dortmund,18,2006,1.5,,3,,,,,,,,,,,1,,,,Matches
Kaboré Issa,bfBFA,3.0,Werder Bremen,23,2001,3.4,,5,,,,,,,,,,,2,,,,Matches
Kadeřábek Pavel,czCZE,2.4,Hoffenheim,32,1992,17.5,,14,,,,,,,,,,,21,,,,Matches
Kamiński Jakub,plPOL,2.4,Wolfsburg,22,2002,12.6,,9,,,,,,,,,,,11,,,,Matches
Kampl Kevin,siSVN,3.0,RB Leipzig,33,1990,17.7,,20,,,,,,,,,,,22,,,,Matches
Kane Harry,engENG,4.0,Bayern Munich,31,1993,26.5,,10,,,,,,,,,,,4,,,,Matches
Karazor Atakan,trTUR,3.0,Stuttgart,27,1996,29.1,,32,,,,,,,,,,,33,,,,Matches
Kaufmann Mikkel,dkDEN,3.5,Heidenheim,23,2001,4.1,,4,,,,,,,,,,,2,,,,Matches
Keitel Yannik,deGER,3.0,Stuttgart,24,2000,3.0,,6,,,,,,,,,,,4,,,,Matches
Kelati Andu,deGER,3.0,Holstein Kiel,21,2002,3.2,,4,,,,,,,,,,,3,,,,Matches
Keller Thomas,deGER,2.4,Heidenheim,24,1999,1.6,,5,,,,,,,,,,,4,,,,Matches
Kemlein Aljoscha,deGER,3.0,Union Berlin,19,2004,10.2,,5,,,,,,,,,,,7,,,,Matches
Kerber Luca,deGER,3.0,Heidenheim,22,2002,8.7,,16,,,,,,,,,,,5,,,,Matches
Khedira Rani,deGER,3.0,Union Berlin,30,1994,30.3,,42,,,,,,,,,,,47,,,,Matches
Kimmich Joshua,deGER,3.0,Bayern Munich,29,1995,31.6,,28,,,,,,,,,,,22,,,,Matches
Kleindienst Tim,deGER,4.0,Gladbach,28,1995,30.4,,15,,,,,,,,,,,13,,,,Matches
Klostermann Lukas,deGER,2.0,RB Leipzig,28,1996,20.4,,14,,,,,,,,,,,25,,,,Matches
Knauff Ansgar,deGER,3.0,Eintracht Frankfurt,22,2002,17.7,,22,,,,,,,,,,,11,,,,Matches
Knudsen Magnus,noNOR,3.0,Holstein Kiel,23,2001,20.6,,30,,,,,,,,,,,10,,,,Matches
Kobel Gregor,chSUI,1.0,Dortmund,26,1997,32.0,,0,,,,,,,,,,,2,,,,Matches
Koch Robin,deGER,2.0,Eintracht Frankfurt,28,1996,28.7,,11,,,,,,,,,,,25,,,,Matches
Köhn Derrick,ghGHA,2.4,Werder Bremen,25,1999,14.9,,12,,,,,,,,,,,11,,,,Matches
Kohr Dominik,deGER,2.3,Mainz 05,30,1994,25.5,,46,,,,,,,,,,,42,,,,Matches
Komenda Marco,hrCRO,2.0,Holstein Kiel,27,1996,14.5,,17,,,,,,,,,,,7,,,,Matches
Kömür Mert,deGER,3.0,Augsburg,19,2005,7.3,,2,,,,,,,,,,,2,,,,Matches
Koscierski Kacper,deGER,2.0,Bochum,17,2007,0.1,,0,,,,,,,,,,,0,,,,Matches
Koudossou Henri,deGER,3.0,Augsburg,24,1999,8.3,,9,,,,,,,,,,,14,,,,Matches
Koulierakis Konstantinos,grGRE,2.0,Wolfsburg,20,2003,27.4,,22,,,,,,,,,,,32,,,,Matches
Kovar Matej,czCZE,1.0,Leverkusen,24,2000,5.0,,0,,,,,,,,,,,0,,,,Matches
Kramarić Andrej,hrCRO,3.0,Hoffenheim,33,1991,30.7,,8,,,,,,,,,,,9,,,,Matches
Krätzig Frans,deGER,2.4,Heidenheim,21,2003,13.5,,18,,,,,,,,,,,18,,,,Matches
Krätzig Frans,deGER,2.0,Stuttgart,21,2003,0.6,,1,,,,,,,,,,,0,,,,Matches
Krauß Tom,deGER,3.0,Bochum,23,2001,12.0,,17,,,,,,,,,,,11,,,,Matches
Kristensen Rasmus,dkDEN,2.3,Eintracht Frankfurt,27,1997,27.9,,37,,,,,,,,,,,20,,,,Matches
Kübler Lukas,deGER,2.0,Freiburg,31,1992,20.5,,20,,,,,,,,,,,48,,,,Matches
Kusi-Asare Jonah,seSWE,4.0,Bayern Munich,17,2007,0.0,,0,,,,,,,,,,,0,,,,Matches
Kwarteng Moritz-Broni,ghGHA,3.0,Bochum,26,1998,1.9,,3,,,,,,,,,,,0,,,,Matches
Labrović Nediljko,hrCRO,1.0,Augsburg,24,1999,15.0,,0,,,,,,,,,,,0,,,,Matches
Laimer Konrad,atAUT,2.0,Bayern Munich,27,1997,18.9,,24,,,,,,,,,,,5,,,,Matches
Lainer Stefan,atAUT,2.0,Gladbach,31,1992,8.4,,13,,,,,,,,,,,12,,,,Matches
