player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Boukamir Mehdi,maMAR,2.0,Charleroi,19,2004,5.7,1,0,0,5,1,0,2,10,6,,,0,Matches
Boyata Dedryck,beBEL,2.0,Club Brugge,32,1990,2.0,1,0,0,1,0,0,0,2,0,,,0,Matches
Braut Brunes Jonatan,noNOR,4.0,OH Leuven,22,2000,14.5,2,0,0,13,12,9,0,2,3,,,0,Matches
Brown Archie,engENG,2.4,Gent,21,2002,26.3,3,1,0,40,40,6,115,36,23,,,0,Matches
Bruno Massimo,beBEL,3.4,Kortrijk,29,1993,14.2,2,0,0,18,9,0,38,10,13,,,0,Matches
Buchanan Tajon,caCAN,2.0,Club Brugge,24,1999,9.2,1,0,0,7,19,4,31,5,6,,,0,Matches
Burgess Christian,engENG,2.0,Union SG,31,1991,36.2,11,1,0,28,21,0,4,40,31,,,0,Matches
Butez Jean,frFRA,1.0,Antwerp,28,1995,31.0,0,0,0,0,5,0,0,0,0,,,0,Matches
Camara Etienne,frFRA,3.0,Charleroi,20,2003,9.6,4,1,1,18,7,1,6,12,18,,,0,Matches
Camara Ilay,snSEN,3.0,RWDM,20,2003,22.0,6,1,1,27,25,5,56,24,30,,,0,Matches
Çanak Cihan,trTUR,3.0,Standard Liège,18,2005,12.3,1,0,0,16,27,1,64,6,11,,,0,Matches
Castro-Montes Alessio,beBEL,2.0,Gent,26,1997,0.7,1,0,0,1,2,0,1,1,0,,,0,Matches
Castro-Montes Alessio,beBEL,3.0,Union SG,26,1997,29.8,5,0,0,34,30,1,120,31,56,,,0,Matches
Chadli Nacer,beBEL,3.0,Westerlo,33,1989,7.9,1,0,0,8,7,1,16,5,9,,,0,Matches
Challouk Youssef,beBEL,3.5,Kortrijk,27,1995,0.5,0,0,0,1,0,0,3,0,0,,,0,Matches
Charles-Cook Regan,gdGRN,3.5,Eupen,26,1997,20.1,2,0,0,46,40,30,29,3,16,,,1,Matches
