player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Grabara Kamil,plPOL,1.0,Wolfsburg,25,1999,28.7,2,0,0,0,3,0,0,0,0,,,0,Matches
Gregoritsch Michael,atAUT,4.0,Freiburg,30,1994,7.1,2,0,0,7,5,4,1,1,2,,,0,Matches
Grifo Vincenzo,itITA,3.0,Freiburg,31,1993,27.0,2,0,0,15,12,2,157,8,21,,,0,Matches
Grillitsch Florian,atAUT,2.4,Hoffenheim,28,1995,6.7,1,0,0,4,11,0,5,9,9,,,0,Matches
Grimaldo Álex,esESP,3.0,Leverkusen,28,1995,29.3,6,1,1,15,25,8,217,17,15,,,0,Matches
Groß Pascal,deGER,2.4,Dortmund,33,1991,25.9,5,1,0,18,12,0,178,9,29,,,0,Matches
Grüll Marco,atAUT,3.5,Werder Bremen,26,1998,13.1,1,0,0,22,31,6,21,5,10,,,0,Matches
Guerreiro Raphaël,ptPOR,2.3,Bayern Munich,30,1993,17.5,2,0,0,9,7,0,27,10,14,,,0,Matches
Guilavogui Morgan,gnGUI,3.5,St Pauli,26,1998,20.1,6,0,0,47,34,11,10,13,19,,,0,Matches
Guirassy Serhou,gnGUI,4.0,Dortmund,28,1996,28.9,4,0,0,16,53,12,1,5,6,,,0,Matches
Gulácsi Péter,huHUN,1.0,RB Leipzig,34,1990,29.2,0,0,0,0,1,0,0,0,1,,,0,Matches
Gumny Robert,plPOL,3.0,Augsburg,26,1998,3.0,2,0,0,4,4,0,4,1,3,,,0,Matches
Günter Christian,deGER,2.0,Freiburg,31,1993,25.7,0,0,0,14,4,5,123,7,22,,,1,Matches
Haberer Janik,deGER,3.0,Union Berlin,30,1994,18.8,1,0,0,21,15,3,15,18,28,,,0,Matches
Hack Robin,deGER,3.0,Gladbach,25,1998,24.1,4,0,0,19,21,9,61,9,19,,,0,Matches
