player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Schöne Lasse,dkDEN,3.0,NEC Nijmegen,37,1986,13.8,,7,,,,,,,,,,,13,,,,Matches
Schouten Jerdy,nlNED,2.4,PSV,26,1997,26.9,,34,,,,,,,,,,,39,,,,Matches
Semedo Vivaldo,ptPOR,4.0,Volendam,18,2005,7.0,,1,,,,,,,,,,,0,,,,Matches
Serrano Nicolás,esESP,3.0,Zwolle,20,2003,1.6,,6,,,,,,,,,,,1,,,,Matches
Seuntjens Mats,nlNED,3.5,Utrecht,31,1992,10.6,,6,,,,,,,,,,,4,,,,Matches
Seuntjens Mats,nlNED,3.4,RKC Waalwijk,31,1992,9.0,,5,,,,,,,,,,,1,,,,Matches
Seva José Pascual Alba,esESP,4.0,Almere City,23,2000,1.5,,1,,,,,,,,,,,1,,,,Matches
Seymor Serano,nlNED,2.0,Excelsior,21,2002,4.1,,3,,,,,,,,,,,5,,,,Matches
Sierhuis Kaj,nlNED,4.0,Fortuna Sittard,25,1998,24.2,,6,,,,,,,,,,,0,,,,Matches
Siovas Dimitris,grGRE,2.0,Fortuna Sittard,34,1988,25.6,,16,,,,,,,,,,,46,,,,Matches
Smal Gijs,nlNED,2.0,Twente,25,1997,22.8,,19,,,,,,,,,,,14,,,,Matches
Smeulers Ian,nlNED,2.0,Excelsior,23,2000,2.0,,5,,,,,,,,,,,7,,,,Matches
Smit Kees,nlNED,3.0,AZ Alkmaar,17,2006,0.2,,2,,,,,,,,,,,1,,,,Matches
Sonnenberg Sven,deGER,2.0,Heracles Almelo,24,1999,18.4,,10,,,,,,,,,,,20,,,,Matches
Sosa Borna,hrCRO,2.3,Ajax,25,1998,9.4,,13,,,,,,,,,,,15,,,,Matches
Sow Sylla,nlNED,4.0,Go Ahead Eagles,26,1996,7.0,,8,,,,,,,,,,,1,,,,Matches
Sow Sylla,nlNED,4.0,NEC Nijmegen,26,1996,5.4,,2,,,,,,,,,,,1,,,,Matches
Spenkelink Mark,nlNED,1.0,RKC Waalwijk,26,1997,1.0,,0,,,,,,,,,,,0,,,,Matches
Stam Finn,nlNED,2.0,AZ Alkmaar,20,2003,0.4,,0,,,,,,,,,,,0,,,,Matches
Steijn Sem,nlNED,3.0,Twente,21,2001,26.8,,16,,,,,,,,,,,10,,,,Matches
Stengs Calvin,nlNED,3.4,Feyenoord,24,1998,23.3,,17,,,,,,,,,,,3,,,,Matches
Stevanovic Filip,rsSRB,3.4,RKC Waalwijk,20,2002,6.9,,8,,,,,,,,,,,3,,,,Matches
Stokkers Finn,nlNED,4.0,Go Ahead Eagles,27,1996,4.2,,3,,,,,,,,,,,2,,,,Matches
Sugawara Yukinari,jpJPN,2.0,AZ Alkmaar,23,2000,28.4,,26,,,,,,,,,,,17,,,,Matches
Šutalo Josip,hrCRO,2.0,Ajax,23,2000,22.0,,14,,,,,,,,,,,38,,,,Matches
