player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Emond Renaud,beBEL,4.0,Standard Liège,31,1991,1.1,,0,,,,,,,,,,,0,,,,Matches
Emond Renaud,beBEL,4.0,Eupen,31,1991,7.8,,1,,,,,,,,,,,5,,,,Matches
Epolo Matthieu,beBEL,1.0,Standard Liège,18,2005,4.0,,0,,,,,,,,,,,0,,,,Matches
Etonde Romaric,frFRA,4.0,Cercle Brugge,18,2005,0.1,,0,,,,,,,,,,,0,,,,Matches
Fadera Alieu,gmGAM,3.4,Genk,21,2001,14.5,,34,,,,,,,,,,,8,,,,Matches
Fadiga Noah,snSEN,3.0,Gent,23,1999,5.3,,8,,,,,,,,,,,9,,,,Matches
Fernandez-Pardo Matias,beBEL,4.0,Gent,18,2005,9.8,,3,,,,,,,,,,,0,,,,Matches
Ferraro Fabio,beBEL,2.3,RWDM,20,2002,0.2,,0,,,,,,,,,,,0,,,,Matches
Filin Oleksandr,ruRUS,2.0,Eupen,27,1996,15.7,,16,,,,,,,,,,,28,,,,Matches
Filorizzo Matteo,beBEL,4.0,Eupen,17,2006,0.4,,0,,,,,,,,,,,0,,,,Matches
Fini Seydou,itITA,3.0,Standard Liège,17,2006,2.2,,4,,,,,,,,,,,2,,,,Matches
Finnbogason Alfreð,isISL,4.0,Eupen,34,1989,12.5,,3,,,,,,,,,,,2,,,,Matches
Fixelles Mathias,beBEL,3.0,Westerlo,26,1996,6.4,,5,,,,,,,,,,,7,,,,Matches
Flips Alexis,frFRA,3.5,Anderlecht,23,2000,4.2,,8,,,,,,,,,,,2,,,,Matches
Fofana Malick,beBEL,3.0,Gent,18,2005,12.7,,13,,,,,,,,,,,12,,,,Matches
Fortuna Núrio,aoANG,2.3,Gent,28,1995,6.2,,10,,,,,,,,,,,12,,,,Matches
Fossey Marlon,usUSA,2.4,Standard Liège,24,1998,22.7,,19,,,,,,,,,,,36,,,,Matches
Fossum Iver,noNOR,3.4,Kortrijk,27,1996,2.2,,4,,,,,,,,,,,2,,,,Matches
Foulon Daam,beBEL,2.3,Mechelen,24,1999,37.7,,57,,,,,,,,,,,36,,,,Matches
François Guillaume,beBEL,3.0,Union SG,33,1990,0.8,,1,,,,,,,,,,,1,,,,Matches
Frigan Matija,hrCRO,4.0,Westerlo,20,2003,15.8,,4,,,,,,,,,,,2,,,,Matches
Fujii Haruya,jpJPN,2.0,Kortrijk,22,2000,9.2,,10,,,,,,,,,,,16,,,,Matches
Fujita Joel,jpJPN,3.0,Sint-Truiden,21,2002,11.8,,18,,,,,,,,,,,16,,,,Matches
Galarza Matías,arARG,3.0,Genk,21,2002,24.4,,31,,,,,,,,,,,40,,,,Matches
Gambor Hugo,cfCTA,2.0,Gent,20,2002,0.2,,1,,,,,,,,,,,1,,,,Matches
Gandelman Omri,ilISR,3.0,Gent,23,2000,18.1,,15,,,,,,,,,,,13,,,,Matches
Garan'anga Munashe,zwZIM,2.0,Mechelen,22,2001,14.4,,22,,,,,,,,,,,39,,,,Matches
Gattoni Federico,arARG,2.0,Anderlecht,24,1999,6.0,,4,,,,,,,,,,,7,,,,Matches
Gboho Yann,frFRA,3.4,Cercle Brugge,22,2001,15.4,,11,,,,,,,,,,,5,,,,Matches
Gécé Théo,beBEL,3.0,RWDM,22,2001,1.4,,4,,,,,,,,,,,2,,,,Matches
Gerkens Pieter,beBEL,3.4,Gent,27,1995,14.6,,9,,,,,,,,,,,12,,,,Matches
Ghalidi Brahim,beBEL,3.0,Standard Liège,18,2005,1.0,,2,,,,,,,,,,,0,,,,Matches
Gillekens Nick,beBEL,1.0,Westerlo,28,1995,7.0,,0,,,,,,,,,,,1,,,,Matches
Godeau Bruno,beBEL,2.0,Sint-Truiden,31,1992,36.0,,24,,,,,,,,,,,58,,,,Matches
Gouré Fernand,ciCIV,4.0,Westerlo,21,2002,0.3,,0,,,,,,,,,,,0,,,,Matches
Gueye Makhtar,snSEN,4.0,RWDM,25,1997,28.6,,15,,,,,,,,,,,8,,,,Matches
Guiagon Parfait,ciCIV,3.4,Charleroi,22,2001,20.6,,21,,,,,,,,,,,6,,,,Matches
Gümüskaya Muhammed,trTUR,3.0,Westerlo,22,2001,0.9,,0,,,,,,,,,,,1,,,,Matches
Habib Guèye Pape,snSEN,4.0,Kortrijk,23,1999,0.1,,0,,,,,,,,,,,0,,,,Matches
Hadj Anouar Ait,beBEL,3.4,Genk,21,2002,9.0,,13,,,,,,,,,,,1,,,,Matches
Haidara Bakary,ciCIV,2.0,Westerlo,18,2005,4.3,,4,,,,,,,,,,,8,,,,Matches
Hairemans Geoffry,beBEL,3.4,Mechelen,31,1991,27.6,,25,,,,,,,,,,,18,,,,Matches
Hashioka Daiki,jpJPN,3.0,Sint-Truiden,24,1999,16.7,,19,,,,,,,,,,,18,,,,Matches
Haspolat Dogucan,trTUR,3.0,Westerlo,23,2000,12.6,,16,,,,,,,,,,,19,,,,Matches
Hautekiet Ibe,beBEL,2.0,Standard Liège,21,2002,1.6,,1,,,,,,,,,,,2,,,,Matches
Hayden Isaac,jmJAM,3.0,Standard Liège,28,1995,7.4,,12,,,,,,,,,,,10,,,,Matches
Hazard Thorgan,beBEL,4.0,Anderlecht,30,1993,17.5,,39,,,,,,,,,,,8,,,,Matches
Henen David,tgTOG,3.0,Kortrijk,27,1996,2.9,,4,,,,,,,,,,,0,,,,Matches
Henkinet Laurent,beBEL,1.0,Standard Liège,30,1992,1.0,,1,,,,,,,,,,,0,,,,Matches
Heris Jonathan,beBEL,2.3,RWDM,32,1990,9.7,,13,,,,,,,,,,,20,,,,Matches
Heymans Daan,beBEL,3.0,Charleroi,24,1999,24.5,,30,,,,,,,,,,,18,,,,Matches
Heynen Bryan,beBEL,3.0,Genk,26,1997,23.5,,30,,,,,,,,,,,28,,,,Matches
Hjulsager Andrew,dkDEN,3.4,Gent,28,1995,9.5,,19,,,,,,,,,,,5,,,,Matches
Holzhauser Raphael,atAUT,3.0,OH Leuven,30,1993,0.8,,1,,,,,,,,,,,1,,,,Matches
Homma Shion,jpJPN,3.0,Club Brugge,22,2000,0.1,,0,,,,,,,,,,,0,,,,Matches
Hrošovský Patrik,skSVK,3.0,Genk,31,1992,33.2,,26,,,,,,,,,,,26,,,,Matches
Hubert Guillaume,beBEL,1.0,RWDM,29,1994,6.2,,0,,,,,,,,,,,0,,,,Matches
Huygevelde Nathan,beBEL,3.0,Union SG,19,2004,0.0,,0,,,,,,,,,,,0,,,,Matches
Hyunseok Hong,krKOR,3.0,Gent,24,1999,25.0,,23,,,,,,,,,,,23,,,,Matches
Idrissy Mounaim,frFRA,3.4,Kortrijk,24,1999,9.3,,9,,,,,,,,,,,11,,,,Matches
Ilaimaharitra Marco,mgMAD,3.0,Charleroi,28,1995,24.2,,41,,,,,,,,,,,26,,,,Matches
Ilenikhena George,ngNGA,4.0,Antwerp,16,2006,16.3,,1,,,,,,,,,,,0,,,,Matches
Imbrechts Joachim,seSWE,1.0,Union SG,21,2001,0.2,,0,,,,,,,,,,,0,,,,Matches
Ito Ryotaro,jpJPN,3.0,Sint-Truiden,25,1998,27.6,,11,,,,,,,,,,,13,,,,Matches
Jackers Nordin,beBEL,1.0,Club Brugge,25,1997,8.9,,1,,,,,,,,,,,0,,,,Matches
Janssen Vincent,nlNED,3.5,Antwerp,29,1994,31.4,,19,,,,,,,,,,,8,,,,Matches
Janssens Wolke,beBEL,2.0,Sint-Truiden,28,1995,8.6,,25,,,,,,,,,,,15,,,,Matches
Jordanov Edisson,bgBUL,2.3,Westerlo,30,1993,8.1,,22,,,,,,,,,,,8,,,,Matches
Jutglà Ferran,esESP,3.5,Club Brugge,24,1999,19.7,,12,,,,,,,,,,,5,,,,Matches
Kabangu Elton,beBEL,3.5,Union SG,25,1998,1.7,,6,,,,,,,,,,,0,,,,Matches
Kader Yaméogo Abdoul,ciCIV,2.0,Club Brugge,18,2004,0.1,,0,,,,,,,,,,,0,,,,Matches
Kadri Abdelkahar,dzALG,3.0,Kortrijk,23,2000,31.1,,47,,,,,,,,,,,34,,,,Matches
Kana Marco,beBEL,2.3,Anderlecht,20,2002,0.2,,0,,,,,,,,,,,1,,,,Matches
Kana Marco,beBEL,2.4,Kortrijk,20,2002,16.7,,24,,,,,,,,,,,32,,,,Matches
Kandouss Ismaël,maMAR,2.0,Gent,25,1997,28.7,,41,,,,,,,,,,,30,,,,Matches
Kanga Wilfried,ciCIV,4.0,Standard Liège,25,1998,34.7,,5,,,,,,,,,,,4,,,,Matches
Kangwa Kings,zmZAM,3.0,Kortrijk,24,1999,6.5,,9,,,,,,,,,,,4,,,,Matches
Karetsas Konstantinos,grGRE,3.0,Genk,15,2007,1.0,,1,,,,,,,,,,,0,,,,Matches
Kawabe Hayao,jpJPN,3.4,Standard Liège,27,1995,30.1,,22,,,,,,,,,,,15,,,,Matches
Kaya Fatih,,4.0,Sint-Truiden,23,1999,16.3,,10,,,,,,,,,,,3,,,,Matches
Kayembe Joris,cdCOD,2.3,Genk,28,1994,22.0,,37,,,,,,,,,,,18,,,,Matches
Kehrer Emilio,deGER,4.0,Cercle Brugge,21,2002,0.4,,2,,,,,,,,,,,0,,,,Matches
Keita Amadou,gnGUI,3.0,Eupen,21,2001,18.6,,43,,,,,,,,,,,26,,,,Matches
Keita Mandela,beBEL,3.0,OH Leuven,21,2002,0.7,,1,,,,,,,,,,,0,,,,Matches
Keita Mandela,beBEL,3.0,Antwerp,21,2002,23.4,,41,,,,,,,,,,,41,,,,Matches
Kerk Gyrano,srSUR,3.4,Antwerp,27,1995,12.7,,18,,,,,,,,,,,5,,,,Matches
Khannouss Bilal,maMAR,3.0,Genk,19,2004,32.9,,48,,,,,,,,,,,13,,,,Matches
Kiyine Sofian,maMAR,3.4,OH Leuven,25,1997,3.2,,4,,,,,,,,,,,1,,,,Matches
Klaus Willian,brBRA,2.0,RWDM,29,1994,14.1,,11,,,,,,,,,,,22,,,,Matches
Knežević Stefan,chSUI,2.0,Charleroi,26,1996,9.2,,15,,,,,,,,,,,27,,,,Matches
Koffi Hervé,bfBFA,1.0,Charleroi,26,1996,31.9,,1,,,,,,,,,,,1,,,,Matches
Koita Aboubakary,mrMTN,3.4,Sint-Truiden,24,1998,32.4,,37,,,,,,,,,,,24,,,,Matches
Konaté Mory,gnGUI,2.4,Mechelen,29,1993,17.6,,30,,,,,,,,,,,35,,,,Matches
Koné Youssouf,mlMLI,2.3,RWDM,28,1995,6.2,,9,,,,,,,,,,,9,,,,Matches
Kongolo Josué,beBEL,2.0,Genk,17,2006,0.8,,1,,,,,,,,,,,1,,,,Matches
