player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Dagba Colin,frFRA,2.0,Paris Saint-Germain,22,1998,1.8,,2,,,,,,,,,,,2,,,,Matches
Daniliuc Flavius,atAUT,2.0,Nice,20,2001,14.4,,31,,,,,,,,,,,16,,,,Matches
Danso Kevin,atAUT,2.0,Lens,22,1998,31.0,,31,,,,,,,,,,,40,,,,Matches
Dante,brBRA,2.0,Nice,37,1983,31.9,,28,,,,,,,,,,,47,,,,Matches
David Jonathan,caCAN,4.0,Lille,21,2000,31.2,,11,,,,,,,,,,,6,,,,Matches
De La Fuente Konrad,usUSA,3.5,Marseille,20,2001,8.7,,8,,,,,,,,,,,2,,,,Matches
Del Castillo Romain,frFRA,3.5,Rennes,25,1996,0.3,,1,,,,,,,,,,,1,,,,Matches
Del Castillo Romain,frFRA,3.0,Brest,25,1996,10.8,,13,,,,,,,,,,,7,,,,Matches
Delaine Thomas,frFRA,2.4,Metz,29,1992,25.7,,35,,,,,,,,,,,27,,,,Matches
Delaye Sacha,frFRA,3.0,Montpellier,19,2002,2.8,,6,,,,,,,,,,,1,,,,Matches
Delort Andy,dzALG,4.0,Nice,29,1991,27.2,,8,,,,,,,,,,,7,,,,Matches
Delort Andy,dzALG,4.0,Montpellier,29,1991,3.0,,0,,,,,,,,,,,0,,,,Matches
Dembélé Moussa,frFRA,4.0,Lyon,25,1996,24.5,,9,,,,,,,,,,,7,,,,Matches
Denayer Jason,beBEL,2.0,Lyon,26,1995,11.1,,4,,,,,,,,,,,15,,,,Matches
Desmas Arthur,frFRA,1.0,Clermont Foot,27,1994,14.5,,0,,,,,,,,,,,0,,,,Matches
Di María Ángel,arARG,3.5,Paris Saint-Germain,33,1988,18.3,,18,,,,,,,,,,,6,,,,Matches
Diaby Yadaly,gnGUI,3.5,Clermont Foot,20,2000,0.7,,0,,,,,,,,,,,1,,,,Matches
Diakité Ibrahim,gnGUI,2.0,Reims,17,2003,0.0,,0,,,,,,,,,,,0,,,,Matches
Diallo Abdou,snSEN,2.0,Paris Saint-Germain,25,1996,9.7,,14,,,,,,,,,,,11,,,,Matches
Diallo Habib,snSEN,4.0,Strasbourg,26,1995,17.1,,5,,,,,,,,,,,4,,,,Matches
Diarra Habib,snSEN,3.0,Strasbourg,17,2004,1.2,,1,,,,,,,,,,,0,,,,Matches
Diarra Stéphane,frFRA,3.5,Lorient,22,1998,5.8,,9,,,,,,,,,,,7,,,,Matches
Diatta Krépin,snSEN,3.0,Monaco,22,1999,3.2,,2,,,,,,,,,,,1,,,,Matches
Dieng Bamba,snSEN,3.5,Marseille,21,2000,10.8,,10,,,,,,,,,,,4,,,,Matches
Dieye Elhadji,snSEN,4.0,Saint-Étienne,19,2002,0.4,,2,,,,,,,,,,,1,,,,Matches
Dilrosun Javairô,nlNED,3.4,Bordeaux,23,1998,19.2,,4,,,,,,,,,,,10,,,,Matches
Dina Ebimbe Junior,cmCMR,3.0,Paris Saint-Germain,20,2000,3.5,,5,,,,,,,,,,,2,,,,Matches
Dingomé Tristan,cmCMR,3.4,Troyes,30,1991,12.0,,11,,,,,,,,,,,8,,,,Matches
Diomande Sinaly,ciCIV,2.0,Lyon,20,2001,6.4,,4,,,,,,,,,,,12,,,,Matches
Diop Sofiane,maMAR,3.0,Monaco,21,2000,21.6,,21,,,,,,,,,,,25,,,,Matches
Diouf Andy,frFRA,3.0,Rennes,18,2003,0.2,,1,,,,,,,,,,,0,,,,Matches
Dioussé Assane,snSEN,3.0,Saint-Étienne,23,1997,0.3,,1,,,,,,,,,,,1,,,,Matches
Disasi Axel,frFRA,2.0,Monaco,23,1998,30.2,,23,,,,,,,,,,,24,,,,Matches
Djaló Tiago,ptPOR,2.0,Lille,21,2000,25.9,,38,,,,,,,,,,,22,,,,Matches
Djiku Alexander,ghGHA,2.0,Strasbourg,26,1994,29.9,,35,,,,,,,,,,,59,,,,Matches
Djile Nokoué Bryan,cmCMR,2.0,Saint-Étienne,19,2002,0.6,,3,,,,,,,,,,,1,,,,Matches
Djoco Ouparine,gwGNB,1.0,Clermont Foot,23,1998,23.5,,0,,,,,,,,,,,1,,,,Matches
