Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Unnamed: 0_level_0_Rk_k,Unnamed: 2_level_0_Nation_k,Unnamed: 3_level_0_Pos_k,Unnamed: 4_level_0_Squad_k,Unnamed: 5_level_0_Age_k,Unnamed: 6_level_0_Born_k,Playing Time_MP_k,Playing Time_Starts_k,Playing Time_Min_k,Playing Time_90s_k,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 26_level_0_Matches,league_tag_k,season_tag_k
422,Ian Maatsen,nl NED,MF,Coventry City,19,2002,40,35,3152,35.0,3,1,4,3,0,0,9,1,0.09,0.03,0.11,0.09,0.11,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Gary Madine,eng ENG,FW,Blackpool,30,1990,34,27,2451,27.2,9,0,9,6,3,4,4,0,0.33,0.00,0.33,0.22,0.22,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Josh Magennis,nir NIR,FW,Hull City,30,1990,19,18,1365,15.2,2,0,2,2,0,1,1,0,0.13,0.00,0.13,0.13,0.13,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,Tyler Magloire,eng ENG,DF,Blackburn Rovers,22,1998,4,1,206,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Seán Maguire,ie IRL,FW,Preston North End,27,1994,26,15,1328,14.8,1,2,3,1,0,0,2,0,0.07,0.14,0.20,0.07,0.20,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Connor Mahoney,eng ENG,FW,Millwall,24,1997,8,1,208,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Josh Maja,ng NGA,FW,Stoke City,22,1998,15,9,909,10.1,1,3,4,1,0,0,1,0,0.10,0.30,0.40,0.10,0.40,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Scott Malone,eng ENG,MF,Millwall,30,1991,39,36,3129,34.8,2,5,7,2,0,0,5,0,0.06,0.14,0.20,0.06,0.20,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Ryan Manning,ie IRL,"DF,MF",Swansea City,25,1996,38,34,2993,33.3,2,4,6,2,0,0,8,2,0.06,0.12,0.18,0.06,0.18,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Emiliano Marcondes,dk DEN,"MF,FW",Bournemouth,26,1995,17,8,789,8.8,2,1,3,2,0,0,2,0,0.23,0.11,0.34,0.23,0.34,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,Luke Mariette,eng ENG,MF,Blackpool,17,2003,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
