player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Fekir Nabil,frFRA,3.0,Real Betis,29,1993,10.7,,5,,,,,,,,,,,1,,,,Matches
Felipe,brBRA,2.0,Atlético Madrid,33,1989,2.2,,2,,,,,,,,,,,0,,,,Matches
Felipe Luiz,itITA,2.0,Real Betis,25,1997,19.6,,23,,,,,,,,,,,27,,,,Matches
Félix João,ptPOR,3.5,Atlético Madrid,22,1999,7.2,,7,,,,,,,,,,,4,,,,Matches
Femenía Kiko,esESP,2.0,Villarreal,31,1991,12.6,,11,,,,,,,,,,,21,,,,Matches
Fernández Aitor,esESP,1.0,Osasuna,31,1991,21.0,,1,,,,,,,,,,,2,,,,Matches
Fernández Álex,esESP,3.4,Cádiz,29,1992,17.5,,8,,,,,,,,,,,8,,,,Matches
Fernández Álvaro,esESP,1.0,Espanyol,24,1998,11.0,,0,,,,,,,,,,,0,,,,Matches
Fernández Carlos,esESP,4.0,Real Sociedad,26,1996,7.0,,4,,,,,,,,,,,1,,,,Matches
Fernández Federico,arARG,2.0,Elche,33,1989,1.0,,1,,,,,,,,,,,2,,,,Matches
Fernández Joaquín,esESP,2.0,Valladolid,26,1996,24.0,,28,,,,,,,,,,,28,,,,Matches
Fernández Valery,esESP,2.4,Girona,22,1999,10.7,,6,,,,,,,,,,,10,,,,Matches
Fernando,esESP,1.0,Almería,32,1990,36.5,,0,,,,,,,,,,,1,,,,Matches
Fernando,brBRA,2.4,Sevilla,35,1987,17.5,,21,,,,,,,,,,,24,,,,Matches
Fidel,esESP,3.4,Elche,32,1989,19.0,,9,,,,,,,,,,,6,,,,Matches
Foulquier Dimitri,frFRA,2.0,Valencia,29,1993,19.3,,19,,,,,,,,,,,14,,,,Matches
Foyth Juan,arARG,2.0,Villarreal,24,1998,21.8,,46,,,,,,,,,,,19,,,,Matches
Fresneda Iván,esESP,2.3,Valladolid,17,2004,19.4,,35,,,,,,,,,,,14,,,,Matches
Galán Javi,esESP,2.0,Celta Vigo,27,1994,35.1,,73,,,,,,,,,,,37,,,,Matches
Galarreta Iñigo Ruiz,esESP,3.0,Mallorca,28,1993,27.2,,35,,,,,,,,,,,27,,,,Matches
García Aleix,esESP,3.0,Girona,25,1997,26.0,,20,,,,,,,,,,,30,,,,Matches
García Álvaro,esESP,3.0,Rayo Vallecano,29,1992,31.9,,29,,,,,,,,,,,34,,,,Matches
García Borja,esESP,3.4,Girona,31,1990,7.5,,4,,,,,,,,,,,5,,,,Matches
García Carlos,esESP,2.0,Cádiz,22,2000,0.3,,0,,,,,,,,,,,0,,,,Matches
García Dani,esESP,3.0,Athletic Club,32,1990,16.5,,24,,,,,,,,,,,19,,,,Matches
García David,esESP,2.0,Osasuna,28,1994,29.8,,18,,,,,,,,,,,48,,,,Matches
García Eric,esESP,2.3,Barcelona,21,2001,15.7,,17,,,,,,,,,,,17,,,,Matches
Garcia Fran,esESP,2.0,Rayo Vallecano,22,1999,37.9,,54,,,,,,,,,,,45,,,,Matches
García Joan,esESP,1.0,Espanyol,21,2001,1.0,,0,,,,,,,,,,,0,,,,Matches
García Raúl,esESP,3.4,Athletic Club,36,1986,10.7,,8,,,,,,,,,,,6,,,,Matches
García Rubén,esESP,3.4,Osasuna,29,1993,12.9,,11,,,,,,,,,,,10,,,,Matches
García Unai,esESP,2.0,Osasuna,30,1992,19.0,,13,,,,,,,,,,,19,,,,Matches
Garreta Felix,esESP,2.0,Real Betis,18,2004,1.0,,0,,,,,,,,,,,1,,,,Matches
Garrido Aleix,esESP,3.0,Barcelona,18,2004,0.1,,1,,,,,,,,,,,0,,,,Matches
Gassama Sékou,snSEN,4.0,Valladolid,27,1995,0.4,,0,,,,,,,,,,,0,,,,Matches
Gavi,esESP,3.4,Barcelona,17,2004,28.1,,33,,,,,,,,,,,19,,,,Matches
Gazzaniga Paulo,arARG,1.0,Girona,30,1992,28.0,,0,,,,,,,,,,,0,,,,Matches
Gil Bryan,esESP,3.0,Sevilla,21,2001,10.2,,10,,,,,,,,,,,8,,,,Matches
Gil David,esESP,1.0,Cádiz,28,1994,4.0,,0,,,,,,,,,,,0,,,,Matches
Gil Óscar,esESP,2.0,Espanyol,25,1997,28.4,,38,,,,,,,,,,,35,,,,Matches
Giménez Álvaro,esESP,3.5,Cádiz,31,1991,0.2,,0,,,,,,,,,,,0,,,,Matches
Gómez Dani,esESP,4.0,Espanyol,24,1998,1.0,,1,,,,,,,,,,,1,,,,Matches
Gómez Maxi,uyURU,4.0,Valencia,25,1996,1.2,,0,,,,,,,,,,,0,,,,Matches
Gómez Moi,esESP,3.0,Osasuna,28,1994,27.3,,16,,,,,,,,,,,10,,,,Matches
Gómez Papu,arARG,3.0,Sevilla,34,1988,11.8,,2,,,,,,,,,,,4,,,,Matches
Gómez Sergi,esESP,2.0,Espanyol,30,1992,26.0,,17,,,,,,,,,,,30,,,,Matches
Gomis Antonio,esESP,1.0,Atlético Madrid,19,2003,0.1,,0,,,,,,,,,,,0,,,,Matches
González Diego,esESP,2.0,Elche,27,1995,10.6,,8,,,,,,,,,,,7,,,,Matches
González Édgar,esESP,2.0,Real Betis,25,1997,19.7,,17,,,,,,,,,,,20,,,,Matches
González Giovanni,uyURU,2.3,Mallorca,27,1994,10.3,,8,,,,,,,,,,,7,,,,Matches
González Nicolás,esESP,3.0,Valencia,20,2002,15.6,,14,,,,,,,,,,,17,,,,Matches
González Roberto,esESP,3.0,Real Betis,21,2001,0.6,,0,,,,,,,,,,,1,,,,Matches
Gorosabel Andoni,esESP,2.0,Real Sociedad,25,1996,19.0,,27,,,,,,,,,,,17,,,,Matches
Gragera José,esESP,2.4,Espanyol,21,2000,5.1,,10,,,,,,,,,,,7,,,,Matches
Grbić Ivo,hrCRO,1.0,Atlético Madrid,26,1996,10.2,,0,,,,,,,,,,,0,,,,Matches
Greif Dominik,skSVK,1.0,Mallorca,25,1997,1.0,,0,,,,,,,,,,,0,,,,Matches
Grenier Clément,frFRA,3.0,Mallorca,31,1991,8.0,,8,,,,,,,,,,,6,,,,Matches
Griezmann Antoine,frFRA,3.5,Atlético Madrid,31,1991,31.8,,33,,,,,,,,,,,23,,,,Matches
Guardado Andrés,mxMEX,3.0,Real Betis,35,1986,15.3,,26,,,,,,,,,,,22,,,,Matches
Guardiola Sergi,esESP,4.0,Valladolid,31,1991,5.6,,9,,,,,,,,,,,2,,,,Matches
Guardiola Sergi,esESP,4.0,Cádiz,31,1991,12.9,,6,,,,,,,,,,,3,,,,Matches
Gudelj Nemanja,rsSRB,2.3,Sevilla,30,1991,30.9,,34,,,,,,,,,,,31,,,,Matches
Guerra Javier,esESP,3.0,Valencia,19,2003,6.7,,13,,,,,,,,,,,11,,,,Matches
Guevara Ander,esESP,3.0,Real Sociedad,25,1997,2.5,,2,,,,,,,,,,,2,,,,Matches
Gueye Pape,snSEN,3.0,Sevilla,23,1999,13.0,,22,,,,,,,,,,,23,,,,Matches
Guillamón Hugo,esESP,3.0,Valencia,22,2000,18.1,,14,,,,,,,,,,,19,,,,Matches
Gumbau Gerard,esESP,3.0,Elche,27,1994,30.4,,26,,,,,,,,,,,26,,,,Matches
Guruzeta Gorka,esESP,4.0,Athletic Club,25,1996,15.8,,21,,,,,,,,,,,4,,,,Matches
Guti Raúl,esESP,3.0,Elche,25,1996,12.4,,11,,,,,,,,,,,8,,,,Matches
Gutiérrez Miguel,esESP,2.3,Girona,21,2001,26.6,,25,,,,,,,,,,,19,,,,Matches
Haddadi Munir,maMAR,3.4,Getafe,26,1995,12.8,,8,,,,,,,,,,,10,,,,Matches
Hadzikadunic Dennis,baBIH,2.0,Mallorca,24,1998,6.8,,6,,,,,,,,,,,3,,,,Matches
Hassan Haissem,frFRA,3.0,Villarreal,20,2002,0.6,,0,,,,,,,,,,,1,,,,Matches
Hazard Eden,beBEL,4.0,Real Madrid,31,1991,2.2,,0,,,,,,,,,,,1,,,,Matches
Henrique Luiz,brBRA,3.0,Real Betis,21,2001,20.1,,33,,,,,,,,,,,14,,,,Matches
Hermoso Mario,esESP,2.0,Atlético Madrid,27,1995,23.4,,15,,,,,,,,,,,19,,,,Matches
Hernández Javi,esESP,2.0,Girona,24,1998,12.4,,13,,,,,,,,,,,9,,,,Matches
