player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Camblan Axel,frFRA,4.0,Brest,19,2003,1.0,2,0,0,3,1,0,1,0,1,,,0,Matches
Candé Fali,gwGNB,2.0,Metz,25,1998,20.5,4,0,0,14,16,0,9,21,18,,,0,Matches
Caoki Gino,frFRA,4.0,Lorient,19,2004,0.1,0,0,0,0,1,0,1,0,0,,,0,Matches
Caqueret Maxence,frFRA,3.0,Lyon,23,2000,33.6,1,0,0,34,30,1,88,48,64,,,0,Matches
Carioca Igor,brBRA,2.4,Lorient,26,1996,2.9,2,0,0,7,4,0,9,3,6,,,0,Matches
Cartillier Antonin,frFRA,2.0,Monaco,19,2004,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Casimir Josué,htHAI,3.4,Le Havre,21,2001,22.4,6,0,0,25,28,7,52,13,18,,,0,Matches
Cásseres Jr. Cristian,veVEN,3.0,Toulouse,23,2000,21.6,1,0,0,42,36,0,22,27,35,,,0,Matches
Castelletto Jean-Charles,cmCMR,2.0,Nantes,28,1995,27.4,5,0,0,33,18,2,20,32,29,,,0,Matches
Caufriez Maximiliano,beBEL,2.0,Clermont Foot,26,1997,18.4,6,3,1,37,18,0,4,18,29,,,0,Matches
Cavaleiro Ivan,ptPOR,3.4,Lille,29,1993,8.6,1,0,0,10,7,2,29,4,6,,,0,Matches
Centonze Fabien,frFRA,3.0,Nantes,27,1996,1.0,1,0,0,2,2,0,7,0,1,,,0,Matches
Chaïbi Fares,dzALG,3.5,Toulouse,20,2002,0.6,1,0,0,1,0,0,7,0,0,,,0,Matches
Cham Muhammed,atAUT,3.4,Clermont Foot,22,2000,28.4,4,0,0,23,57,3,119,7,13,,,0,Matches
Chardonnet Brendan,frFRA,2.0,Brest,28,1994,33.0,4,0,0,35,22,0,12,50,39,,,0,Matches
