player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
David Cabal Juan,coCOL,2.0,Hellas Verona,21,2001,4.9,3,0,0,7,2,1,7,13,6,,,0,Matches
Dawidowicz Paweł,plPOL,2.0,Hellas Verona,27,1995,18.1,6,1,0,37,13,1,13,23,30,,,0,Matches
De Ketelaere Charles,beBEL,3.0,Milan,21,2001,12.4,2,0,0,19,15,2,10,4,12,,,0,Matches
De Luca Manuel,itITA,4.0,Sampdoria,24,1998,0.5,0,0,0,3,2,0,0,0,0,,,0,Matches
De Nipoti Tommaso,itITA,4.0,Atalanta,19,2003,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
De Sciglio Mattia,itITA,2.4,Juventus,29,1992,11.6,0,0,0,4,11,0,26,3,8,,,0,Matches
De Silvestri Lorenzo,itITA,2.3,Bologna,34,1988,7.5,1,0,0,6,6,2,6,3,2,,,1,Matches
De Winter Koni,beBEL,2.0,Empoli,20,2002,11.4,3,0,0,13,2,0,0,6,10,,,0,Matches
Defrel Grégoire,mqMTQ,4.0,Sassuolo,31,1991,13.0,3,0,0,14,13,6,1,2,7,,,0,Matches
Degl'Innocenti Duccio,itITA,3.0,Empoli,19,2003,0.0,0,0,0,0,0,0,0,1,0,,,0,Matches
Demiral Merih,trTUR,2.0,Atalanta,24,1998,17.1,5,0,0,13,13,1,2,23,29,,,0,Matches
Demme Diego,deGER,3.0,Napoli,30,1991,1.6,0,0,0,2,3,0,0,1,0,,,0,Matches
Depaoli Fabio,itITA,3.0,Hellas Verona,25,1997,24.1,7,0,0,42,31,4,60,19,30,,,0,Matches
Depaoli Fabio,itITA,2.0,Sampdoria,25,1997,1.5,1,0,0,1,7,0,8,1,3,,,0,Matches
Dermaku Kastriot,alALB,2.0,Lecce,30,1992,0.4,0,0,0,0,0,0,0,0,0,,,0,Matches
Dessers Cyriel,ngNGA,4.0,Cremonese,27,1994,17.6,3,0,0,34,14,23,8,2,4,,,0,Matches
Dest Sergiño,usUSA,2.0,Milan,21,2000,3.7,0,0,0,6,4,0,4,3,5,,,0,Matches
