player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Buongiorno Alessandro,itITA,2.0,Torino,23,1999,30.2,,25,,,,,,,,,,,65,,,,Matches
Buta Leonardo,ptPOR,2.0,Udinese,20,2002,0.2,,1,,,,,,,,,,,0,,,,Matches
Cabral Arthur,brBRA,4.0,Fiorentina,24,1998,15.9,,3,,,,,,,,,,,1,,,,Matches
Cacace Liberato,nzNZL,2.0,Empoli,21,2000,6.5,,12,,,,,,,,,,,3,,,,Matches
Calabria Davide,itITA,2.0,Milan,25,1996,18.8,,44,,,,,,,,,,,25,,,,Matches
Caldara Mattia,itITA,2.0,Spezia,28,1994,13.9,,15,,,,,,,,,,,17,,,,Matches
Caldirola Luca,itITA,2.0,Monza,31,1991,26.1,,14,,,,,,,,,,,28,,,,Matches
Çalhanoğlu Hakan,trTUR,3.0,Inter,28,1994,26.3,,27,,,,,,,,,,,24,,,,Matches
Camara Mohamed,gnGUI,3.0,Roma,25,1997,7.7,,10,,,,,,,,,,,10,,,,Matches
Cambiaghi Nicolò,itITA,3.5,Empoli,21,2000,14.3,,22,,,,,,,,,,,9,,,,Matches
Cambiaso Andrea,itITA,2.3,Bologna,22,2000,24.1,,35,,,,,,,,,,,28,,,,Matches
Cancellieri Matteo,itITA,4.0,Lazio,20,2002,2.8,,4,,,,,,,,,,,1,,,,Matches
Candreva Antonio,itITA,3.0,Salernitana,35,1987,30.3,,8,,,,,,,,,,,18,,,,Matches
Caprari Gianluca,itITA,3.4,Monza,29,1993,27.1,,7,,,,,,,,,,,8,,,,Matches
Caputo Francesco,itITA,4.0,Sampdoria,34,1987,12.2,,1,,,,,,,,,,,1,,,,Matches
Caputo Francesco,itITA,4.0,Empoli,34,1987,19.0,,2,,,,,,,,,,,2,,,,Matches
Carboni Andrea,itITA,2.0,Monza,21,2001,1.9,,2,,,,,,,,,,,3,,,,Matches
Carboni Franco,itITA,3.0,Monza,19,2003,0.7,,1,,,,,,,,,,,1,,,,Matches
Carboni Valentin,arARG,3.0,Inter,17,2005,0.3,,1,,,,,,,,,,,0,,,,Matches
Carnesecchi Marco,itITA,1.0,Cremonese,22,2000,27.0,,1,,,,,,,,,,,0,,,,Matches
Casale Nicolò,itITA,2.0,Lazio,24,1998,27.1,,23,,,,,,,,,,,17,,,,Matches
Cassandro Tommaso,itITA,2.3,Lecce,22,2000,0.1,,1,,,,,,,,,,,0,,,,Matches
Castagnetti Michele,itITA,3.0,Cremonese,32,1989,15.7,,24,,,,,,,,,,,15,,,,Matches
Castrovilli Gaetano,itITA,3.0,Fiorentina,25,1997,8.0,,8,,,,,,,,,,,6,,,,Matches
Cataldi Danilo,itITA,3.0,Lazio,27,1994,21.3,,16,,,,,,,,,,,25,,,,Matches
Ceccaroni Pietro,itITA,2.0,Lecce,26,1995,0.5,,0,,,,,,,,,,,3,,,,Matches
Ceccherini Federico,itITA,2.0,Hellas Verona,30,1992,15.7,,19,,,,,,,,,,,17,,,,Matches
Ceesay Assan,gmGAM,4.0,Lecce,28,1994,20.1,,18,,,,,,,,,,,2,,,,Matches
Ceide Emil,noNOR,4.0,Sassuolo,20,2001,5.7,,2,,,,,,,,,,,1,,,,Matches
Çelik Zeki,trTUR,2.4,Roma,25,1997,16.7,,21,,,,,,,,,,,16,,,,Matches
