Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Unnamed: 0_level_0_Rk_k,Unnamed: 2_level_0_Nation_k,Unnamed: 3_level_0_Pos_k,Unnamed: 4_level_0_Squad_k,Unnamed: 5_level_0_Age_k,Unnamed: 6_level_0_Born_k,Playing Time_MP_k,Playing Time_Starts_k,Playing Time_Min_k,Playing Time_90s_k,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 26_level_0_Matches,league_tag_k,season_tag_k
340,Théo Le Bris,fr FRA,MF,Lorient,18,2002,4,0,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Jérémy Le Douaron,fr FRA,"FW,MF",Brest,23,1998,32,16,1446,16.1,5,3,8,5,0,0,0,0,0.31,0.19,0.50,0.31,0.50,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Enzo Le Fée,fr FRA,"MF,FW",Lorient,21,2000,36,25,2194,24.4,2,3,5,2,0,0,2,0,0.08,0.12,0.21,0.08,0.21,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Vincent Le Goff,fr FRA,"DF,MF",Lorient,31,1989,34,34,3060,34.0,1,1,2,1,0,0,1,0,0.03,0.03,0.06,0.03,0.06,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Maxime Le Marchand,fr FRA,DF,Strasbourg,31,1989,12,9,860,9.6,1,1,2,1,0,0,4,0,0.10,0.10,0.21,0.10,0.21,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Jean-Louis Leca,fr FRA,GK,Lens,35,1985,27,27,2313,25.7,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,23,fr FRA,GK,Lens,35,1985,27,27,2313,25.7,33,1.28,95,66,68.4,10,8,9,5,18.5,4,3,1,0,25.0,Matches,Ligue 1,2021-22
346,Félix Lemaréchal,fr FRA,MF,Monaco,17,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Mario Lemina,ga GAB,MF,Nice,27,1993,32,24,1967,21.9,2,0,2,2,0,0,7,1,0.09,0.00,0.09,0.09,0.09,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Fabien Lemoine,fr FRA,MF,Lorient,34,1987,21,13,1117,12.4,0,1,1,0,0,0,5,0,0.00,0.08,0.08,0.00,0.08,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Léo Leroy,fr FRA,MF,Montpellier,21,2000,24,7,626,7.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Alexandre Letellier,fr FRA,GK,Paris Saint-Germain,30,1990,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,24,fr FRA,GK,Paris Saint-Germain,30,1990,1,0,8,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches,Ligue 1,2021-22
351,Yanis Lhery,fr FRA,FW,Saint-Étienne,18,2003,5,0,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Dimitri Liénard,fr FRA,"DF,MF",Strasbourg,33,1988,33,23,2044,22.7,2,3,5,2,0,0,8,0,0.09,0.13,0.22,0.09,0.22,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Isaac Lihadji,fr FRA,MF,Lille,19,2002,13,2,238,2.6,1,3,4,1,0,0,1,0,0.38,1.13,1.51,0.38,1.51,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,Pol Lirola,es ESP,"DF,MF",Marseille,23,1997,34,19,1770,19.7,1,2,3,1,0,0,1,0,0.05,0.10,0.15,0.05,0.15,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
