player_id,gameweek,total_points,minutes,goals_scored,assists,clean_sheets,saves,bonus,bps,value,was_home,transfers_in,transfers_out,opponent_team_id
37,10,1,74,0,0,0,0,0,3,4.5,0,4954,12216,12
679,10,0,0,0,0,0,0,0,0,4.4,1,109,1418,15
666,10,7,45,1,0,0,0,2,39,9.0,0,120568,287264,3
50,10,0,0,0,0,0,0,0,0,5.3,0,4969,7134,12
664,10,0,0,0,0,0,0,0,0,4.0,1,258,1549,20
28,10,0,0,0,0,0,0,0,0,4.5,0,0,722,3
495,10,0,0,0,0,0,0,0,0,4.5,0,0,25,19
176,10,0,0,0,0,0,0,0,0,4.5,1,0,142,11
8,10,6,90,0,0,1,0,0,20,6.1,0,381364,41361,3
187,10,1,90,0,0,0,0,0,4,4.4,1,7485,10539,1
235,10,0,0,0,0,0,0,0,0,10.3,0,620,58205,18
257,10,8,90,0,0,1,0,0,24,5.0,1,18190,23700,5
220,10,6,90,0,0,1,1,0,25,4.8,0,12290,113358,18
115,10,0,0,0,0,0,0,0,0,4.0,0,0,545,8
162,10,0,0,0,0,0,0,0,0,5.4,1,34,917,11
182,10,0,0,0,0,0,0,0,0,4.7,1,306,5616,4
391,10,1,10,0,0,0,0,0,2,4.9,0,101,321,13
656,10,0,0,0,0,0,0,0,0,4.9,0,0,164,10
157,10,0,0,0,0,0,0,0,0,6.2,1,645,48326,11
295,10,4,90,0,0,0,0,0,12,4.5,0,11393,9538,17
609,10,4,90,0,0,0,0,0,9,4.3,1,159,594,15
490,10,2,90,0,0,0,0,0,10,5.9,0,2931,2423,19
97,10,1,28,0,0,0,0,0,1,7.0,0,2076,50549,13
694,10,1,90,0,0,0,0,0,2,4.1,1,209762,19524,9
570,10,0,59,0,0,0,0,0,1,4.3,1,1115,793,7
667,10,0,0,0,0,0,0,0,0,4.3,0,93,261,17
571,10,0,0,0,0,0,0,0,0,4.3,1,21,555,7
532,10,1,90,0,0,0,0,0,4,4.5,1,7666,3576,9
331,10,1,18,0,0,0,0,0,5,4.9,1,81,117,20
318,10,6,90,0,0,1,0,0,24,4.5,1,12768,5285,20
75,10,0,0,0,0,0,0,0,0,3.9,0,1072,1089,13
129,10,2,67,0,0,0,0,0,6,5.0,0,326,1861,8
311,10,1,33,0,0,0,0,0,2,5.2,0,13277,39961,17
24,10,1,13,0,0,0,0,0,4,5.2,0,228,904,3
669,10,1,90,0,0,0,0,0,2,5.7,1,1098,26349,14
718,10,0,0,0,0,0,0,0,0,5.0,1,19,72,15
702,10,0,0,0,0,0,0,0,0,4.5,0,154,354,12
313,10,0,0,0,0,0,0,0,0,4.4,0,0,814,17
17,10,0,0,0,0,0,0,0,0,7.9,0,108,10156,3
174,10,0,0,0,0,0,0,0,0,5.0,1,0,10,11
181,10,1,2,0,0,0,0,0,3,4.8,1,3619,1752,11
269,10,0,0,0,0,0,0,0,0,4.7,1,299,815,5
288,10,0,0,0,0,0,0,0,0,4.4,0,96,343,17
431,10,0,0,0,0,0,0,0,0,4.9,0,643,3162,16
357,10,0,0,0,0,0,0,0,0,4.9,0,0,51,6
236,10,3,84,0,0,1,0,0,3,7.0,0,93774,38922,18
635,10,0,0,0,0,0,0,0,0,4.5,0,316,1348,10
634,10,-3,45,0,0,0,0,0,-11,4.4,0,75,235,10
299,10,9,61,1,0,0,0,2,28,6.5,0,75435,77501,17
722,10,2,90,0,0,0,0,0,12,5.0,1,1221,1112,1
251,10,0,0,0,0,0,0,0,0,6.5,0,0,143,18
47,10,1,90,0,0,0,0,0,6,6.8,0,26780,43692,12
27,10,1,15,0,0,0,0,0,7,4.8,0,309,462,8
476,10,1,90,0,0,0,0,0,-4,5.2,0,102996,63510,19
327,10,0,0,0,0,0,0,0,0,5.3,1,0,373,20
497,10,0,0,0,0,0,0,0,0,4.4,0,18995,16123,19
562,10,0,0,0,0,0,0,0,0,4.3,1,3694,3075,9
394,10,0,0,0,0,0,0,0,0,4.4,1,0,108,2
