player_id,gameweek,opponent_team_id,opponent_team,was_home,total_points,minutes,goals_scored,assists,clean_sheets,saves,bonus,value
5,15,2,Aston Villa,False,0,0,0,0,0,0,0,6.3
5,16,20,Wolves,True,0,0,0,0,0,0,0,6.2
5,17,9,Everton,False,0,0,0,0,0,0,0,6.2
5,18,6,Brighton,True,1,19,0,0,0,0,0,6.2
5,19,2,Aston Villa,True,15,76,1,0,1,0,3,6.3
5,20,4,Bournemouth,False,9,90,1,0,0,0,0,6.5
5,21,12,Liverpool,True,6,90,0,0,1,0,0,6.6
5,22,16,Nott'm Forest,False,8,90,0,0,1,0,2,6.8
5,23,14,Man Utd,True,1,90,0,0,0,0,0,6.9
5,24,11,Leeds,False,8,90,0,0,1,0,0,7.0
5,25,17,Sunderland,True,6,90,0,0,1,0,0,7.1
5,26,5,Brentford,False,3,90,0,0,0,0,0,7.1
5,26,20,Wolves,False,4,90,0,1,0,0,0,7.1
5,27,18,Spurs,False,2,90,0,0,0,0,0,7.1
5,28,7,Chelsea,True,9,90,0,1,0,0,3,7.1
5,29,6,Brighton,False,11,90,0,0,1,0,3,7.1
5,30,9,Everton,True,9,90,0,0,1,0,1,7.2
5,32,4,Bournemouth,True,4,90,0,1,0,0,0,7.2
5,33,13,Man City,False,0,90,0,0,0,0,0,7.1
5,34,15,Newcastle,True,8,90,0,0,1,0,2,7.1
5,35,10,Fulham,True,6,90,0,0,1,0,0,7.2
5,36,19,West Ham,False,11,90,0,0,1,0,3,7.2
5,37,3,Burnley,True,6,90,0,0,1,0,0,7.3
5,38,8,Crystal Palace,False,1,45,0,0,0,0,0,7.3
6,1,14,Man Utd,False,9,90,0,0,1,0,1,6.0
6,2,11,Leeds,True,6,90,0,0,1,0,0,6.0
6,3,12,Liverpool,False,1,4,0,0,0,0,0,6.1
6,4,16,Nott'm Forest,True,0,0,0,0,0,0,0,6.1
6,5,13,Man City,True,2,90,0,0,0,0,0,6.0
6,6,15,Newcastle,False,1,45,0,0,0,0,0,6.0
6,7,19,West Ham,True,6,90,0,0,1,0,0,6.0
6,8,10,Fulham,False,6,90,0,0,1,0,0,6.0
6,9,8,Crystal Palace,True,1,45,0,0,0,0,0,6.0
6,10,3,Burnley,False,6,90,0,0,1,0,0,6.0
6,11,17,Sunderland,False,1,90,0,0,0,0,0,6.0
6,12,18,Spurs,True,2,90,0,0,0,0,0,6.0
6,13,7,Chelsea,False,0,0,0,0,0,0,0,6.0
6,14,5,Brentford,True,0,0,0,0,0,0,0,6.0
6,15,2,Aston Villa,False,0,0,0,0,0,0,0,6.0
6,16,20,Wolves,True,2,90,0,0,0,0,0,6.0
6,17,9,Everton,False,6,90,0,0,1,0,0,5.9
6,18,6,Brighton,True,2,90,0,0,0,0,0,5.9
6,19,2,Aston Villa,True,2,90,0,0,0,0,0,5.9
6,20,4,Bournemouth,False,1,90,0,0,0,0,0,5.9
6,21,12,Liverpool,True,7,90,0,0,1,0,1,5.9
6,22,16,Nott'm Forest,False,8,90,0,0,1,0,2,6.0
6,23,14,Man Utd,True,1,90,0,0,0,0,0,6.0
6,24,11,Leeds,False,6,90,0,0,1,0,0,6.0
6,25,17,Sunderland,True,7,90,0,0,1,0,0,6.0
6,26,5,Brentford,False,0,0,0,0,0,0,0,6.1
6,26,20,Wolves,False,1,90,0,0,0,0,0,6.1
6,27,18,Spurs,False,2,90,0,0,0,0,0,6.1
6,28,7,Chelsea,True,10,90,1,0,0,0,2,6.1
6,29,6,Brighton,False,0,0,0,0,0,0,0,6.1
6,30,9,Everton,True,11,90,0,0,1,0,3,6.1
6,32,4,Bournemouth,True,1,90,0,0,0,0,0,6.1
6,33,13,Man City,False,3,90,0,0,0,0,0,6.1
6,34,15,Newcastle,True,7,90,0,0,1,0,1,6.1
6,35,10,Fulham,True,6,90,0,0,1,0,0,6.1
6,36,19,West Ham,False,5,90,0,0,1,0,0,6.2
6,37,3,Burnley,True,8,90,0,0,1,0,2,6.2
6,38,8,Crystal Palace,False,0,0,0,0,0,0,0,6.3
7,1,14,Man Utd,False,13,71,1,0,1,0,2,5.5
7,2,11,Leeds,True,13,63,0,2,1,0,1,5.5
7,3,12,Liverpool,False,2,90,0,0,0,0,0,5.6
7,4,16,Nott'm Forest,True,5,67,0,0,1,0,0,5.7
7,5,13,Man City,True,2,90,0,0,0,0,0,5.7
7,6,15,Newcastle,False,1,69,0,0,0,0,0,5.7
7,7,19,West Ham,True,6,74,0,0,1,0,0,5.7
7,8,10,Fulham,False,6,90,0,0,1,0,0,5.7
7,9,8,Crystal Palace,True,6,81,0,0,1,0,0,5.8
7,10,3,Burnley,False,6,71,0,0,1,0,0,5.8
7,11,17,Sunderland,False,1,90,0,0,0,0,0,5.8
7,12,18,Spurs,True,2,90,0,0,0,0,0,5.8
7,13,7,Chelsea,False,0,45,0,0,0,0,0,5.8
7,14,5,Brentford,True,7,90,0,0,1,0,1,5.8
7,15,2,Aston Villa,False,1,85,0,0,0,0,0,5.8
7,16,20,Wolves,True,0,0,0,0,0,0,0,5.7
7,17,9,Everton,False,6,90,0,0,1,0,0,5.7
7,18,6,Brighton,True,0,0,0,0,0,0,0,5.7
7,19,2,Aston Villa,True,0,0,0,0,0,0,0,5.7
7,20,4,Bournemouth,False,0,0,0,0,0,0,0,5.7
7,21,12,Liverpool,True,0,0,0,0,0,0,0,5.6
7,22,16,Nott'm Forest,False,0,0,0,0,0,0,0,5.6
7,23,14,Man Utd,True,0,0,0,0,0,0,0,5.6
7,24,11,Leeds,False,1,15,0,0,0,0,0,5.6
7,25,17,Sunderland,True,6,66,0,0,1,0,0,5.6
7,26,5,Brentford,False,1,9,0,0,0,0,0,5.6
7,26,20,Wolves,False,1,1,0,0,0,0,0,5.6
7,27,18,Spurs,False,0,0,0,0,0,0,0,5.6
7,28,7,Chelsea,True,0,0,0,0,0,0,0,5.6
7,29,6,Brighton,False,1,26,0,0,0,0,0,5.6
7,30,9,Everton,True,6,73,0,0,1,0,0,5.6
7,32,4,Bournemouth,True,0,0,0,0,0,0,0,5.6
7,33,13,Man City,False,0,0,0,0,0,0,0,5.6
7,34,15,Newcastle,True,0,0,0,0,0,0,0,5.6
7,35,10,Fulham,True,6,90,0,0,1,0,0,5.6
7,36,19,West Ham,False,1,45,0,0,0,0,0,5.6
7,37,3,Burnley,True,8,71,0,0,1,0,2,5.6
7,38,8,Crystal Palace,False,1,45,0,0,0,0,0,5.6
8,1,14,Man Utd,False,0,19,0,0,0,0,0,5.5
8,2,11,Leeds,True,24,63,2,1,1,0,3,5.5
8,3,12,Liverpool,False,2,90,0,0,0,0,0,5.6
8,4,16,Nott'm Forest,True,8,90,0,0,1,0,2,5.7
8,5,13,Man City,True,1,79,0,0,0,0,0,5.7
8,6,15,Newcastle,False,2,90,0,0,0,0,0,5.8
8,7,19,West Ham,True,11,90,0,1,1,0,2,5.8
8,8,10,Fulham,False,6,90,0,0,1,0,0,5.9
8,9,8,Crystal Palace,True,6,90,0,0,1,0,0,6.0
8,10,3,Burnley,False,6,90,0,0,1,0,0,6.1
8,11,17,Sunderland,False,1,90,0,0,0,0,0,6.1
